"claim","guarantee","causal_dependencies","candidate_acceptance_evidence","required_adversarial_evidence","status","notes"
"dsl_sole_owner","DSL is the sole production owner of authored tokenization parsing source AST legality diagnostics normalization and semantic lowering","worth-ui-dsl topology; runtime source modules; dependency graph; ownership guard","Phase 2 ledger; milestone inventory ownership audit; boundary-check","Live source/dependency audit plus disguised parser lowerer inverse-owner and forbidden-dependency mutations","PROVED","Live ownership and dependency inventories pass; hostile disguised-parser, lowerer, inverse-owner, and forbidden-dependency mutations are rejected. Runtime's sole direct semantic-spec constructor is the private invariant product-root bootstrap, now pinned by exact owner, key, provenance, structure, posture, and support witnesses plus a second-constructor hostile mutation."
"authoring_convergence","File-authored and Rust-authored composition converge on one canonical semantic meaning before runtime while provenance remains distinct","DSL authoring APIs; source facade; Rust composition; semantic identity","Phase 3 ledger; mounted projection parity; source transport diagnostic parity","Independent semantic oracle formatting hostility equal-digest collision and provenance distinction","PROVED","Phase 3 parity uses an independently constructed semantic expectation and separately proves formatting hostility, equal-local-digest collision resistance, source diagnostic transport, and distinct provenance."
"sealed_runtime_handoff","Runtime consumes one sealed exact semantic handoff and exposes no loose AST declaration or forged construction bypass","DSL handoff type; runtime preparation; product facade; compile contracts","Phase 3 ledger; compile-fail handoff fixtures; product API manifest","Constructor loose-input unsupported-protocol and equal-local-digest hostility","PROVED","Runtime caller-authored preparation accepts UiDslLoweringReceipt only; live callable inventory and compile failures deny loose artifacts, ASTs, unsupported protocol versions, forged construction, and digest-only identity."
"runtime_subsystem_topology","Runtime subsystem owners transitions failure owners costs and dependency direction are explicit and acyclic","Phase 4 authority manifest; runtime module graph; topology audit","Phase 4 ledger; subsystem matrix; negative topology fixtures","Sibling mutation whole-session thin-wrapper cycle and inspection-mutation faults","PROVED","The seven-owner authority manifest equals the live module graph; exact owner/symbol/dependency checks, cycle detection, sibling-state, whole-session-wrapper, and inspection-mutation hostile cases pass."
"thin_active_session","The active application session is a thin composition root using narrow capabilities and preserving predecessor truth","active session; application mounting observation planning graph state","Phase 4 ledger; capability-scope audit; lifecycle contracts","Whole-session shortcut and every fallible transition preserving the complete predecessor tuple","PROVED","Direct composition review found the active session delegates through application, mounted, observation, planning, graph, and host-exchange capabilities rather than owning their state; lifecycle contracts prove predecessor preservation on each fallible transition."
"one_product_route","Ordinary downstream callers have exactly one callable mounted-frame start through facade::app","worth-ui public exports; app facade; runtime entry facade; API manifest","Phase 5/6 ledgers; callable-entry audit; app journey compile pass","Alias forwarding feature-flag and midpoint-entry mutations plus exhaustive public outcome journey","PROVED","The live public-callable manifest exposes one mounted-frame start under facade::app; alias, forwarding, feature, and midpoint mutations are rejected, and the exhaustive product journey compiles and executes."
"no_intermediate_authority","The product facade exposes no constructible graph plan allocation mounted publication or recovery midpoint authority","worth-ui exports; constructors; continuation handles; compile contracts","Phase 5/6 ledgers; API manifest; compile-fail suite","Direct phase construction recovery without returned handle and certification-export hostility","PROVED","Export and constructor inventories plus compile-fail contracts deny graph, plan, allocation, publication, recovery-midpoint, and certification authorities; recovery proceeds only through typed returned handles."
"predecessor_absence","Every predecessor lifecycle alias wrapper compatibility route and production-only-for-tests constructor is absent","production reachability; features; public manifests; migration map","Phase 6 ledger; reachability audit; predecessor compile failures","Deprecated alias forwarding wrapper feature-flag and test-authority mutations","PROVED","Reachability and feature scans find no predecessor path, private forwarding copy, compatibility alias, or production-only-for-tests constructor; corresponding compile and mutation denials pass."
"steady_frame_source_exclusion","Unchanged and changed mounted frames perform no authored-source parsing lowering broad source scan or hidden source allocation","mounted execution; source ingress; planning; counters; allocator observer","Phase 7 ledger; poisoned-source test; lane counters; public allocation test","Poisoned DSL path continued behavior unrelated-source scaling and independent allocator observation","PROVED","Poisoned-source execution, unrelated-source scaling, lane counters, and an independent allocator observer prove unchanged and changed mounted frames remain source-free after explicit ingress."
"cost_build_honesty","Frame and verification costs use comparable opening/closing methodology and stay within adjudicated target/session budgets","opening baseline; closing evidence; CI lane runner; target topology","Phase 7 cost evidence; topology budget; compile runner summary","Recompute methodology comparability omitted-category detection target/session growth mutation and actual current measurements","PROVED","A same-machine, same-toolchain, isolated-target paired measurement is recorded. Cold platform improved 118.412s to 79.325s; warm platform regressed 1.081s to 1.122s; warm fast regressed 264.414s to 304.681s; compile contracts grew 24 to 35 cases and regressed 83.797s to 112.989s while remaining 2 Cargo sessions. Regressions are explicitly retained and adjudicated, not described as improvements."
"future_insertion","Representative successor seams for Milestones 3.11 3.12 3.17 and 3.18 have an unambiguous runtime-family or external authority owner without reverse dependencies","Phase 4 manifest; current roadmap headings; runtime subsystem docs; topology","Phase 4/8 v2 ledgers; closeout insertion rows; exact roadmap-heading audit","Wrong-owner, mutually stale copied-manifest, and cycle mutations","PROVED","Phase 8 mirrors Phase 4 and the current roadmap: 3.11 binds snapshot generation through application, 3.12 enters through observation admission, 3.17 runtime evaluation consumes DSL-owned expression artifacts through planning, and 3.18 remains wholly worth-ui-dsl before the sealed handoff. Wrong-owner, matching-but-stale-copy, and cycle mutations are rejected."
"documentation_closed_path","Public docs describe only the closed architecture and a fresh reader can compile and execute the documented ordinary and typed recovery journeys","ten closeout documents; product API; compile fixtures","Phase 8 ledger; closeout document audit; app and inspection compile passes","Compile code derived from docs stale-route scan missing-section and missing-marker mutations","PROVED","All ten documents pass exact heading and forbidden-route scans. The ordinary mounted-frame source is now copied verbatim from its fenced documentation block into the compile fixture and executed by a real application contract; source drift and stale-route mutations are rejected."
"evidence_harness_honesty","The certification harness exercises real claimed worlds with independent oracles and every new guard has a proved-red intended mutation","test fixtures; compile runner; topology audit; Phase 8 self-audit","Phase 3-8 ledgers; application contracts; compile contracts; topology tests","World boundary oracle fault-sensitivity and exact failure-reason inspection across all new guards","PROVED","The harness crosses real file ingress, DSL, runtime, product facade, host exchange, and allocator boundaries; independent semantic and allocation oracles are fault-sensitive, and every newly added guard has an intended hostile mutation including doc-source drift, paired-target aliasing, unadjudicated regression, and duplicate runtime semantic construction."
"dirty_composition_integrity","Every dirty code test fixture and support file obeys line caps semantic file ownership function decomposition naming and honest module placement","all 735 dirty Rust files plus dirty Python support; composition and domain laws","workspace line-cap guard; scrutinize dirty functions; Clippy","Complete dirty-file scan including untracked files and manual review of flagged responsibilities","PROVED","Complete status-derived scan covers 804 dirty paths, 735 Rust files, and 736 code/support files with zero files over 400 lines. The scrutinizer reports advisories rather than violations; direct review of milestone-critical long functions found cohesive admission, classification, orchestration, and evidence responsibilities with no god file, catch-all module, or misplaced authority."
"exact_final_source","All causal evidence is rerun after the last relevant correction against one recorded final source state","every row above; source fingerprints; required verification commands","Phase 8 exact-source row and prior green command reports","Re-fingerprint final dirty content and rerun every causally relevant authority certification quality cost and hygiene command","PROVED","After the final causal code and evidence corrections, the compiler matrix, consolidated full lane, strict Clippy, formatting, scoped line caps, boundary-check, agent-context check, Phase 7 and Phase 8 hostile audits, exact application witnesses, milestone inventory, complete dirty-source scrutiny, and whitespace hygiene all passed. The final post-ledger fingerprint is reported with the QA verdict."
