lane,sequence,step,path,source_anchor,authority_owner,disposition
ordinary-publication,1,managed-worker-entry,crates/worth-store/src/physical_runtime/record_serving/publication/director/managed_mutation.rs,self.prepare_settled_root_publication(settled),Store mutation worker,preserve
ordinary-publication,2,group-projection,crates/worth-store/src/physical_runtime/record_serving/publication/director/root_preparation.rs,RootPublicationPlanningMembers::from_settled,Store root preparation,preserve
ordinary-publication,3,current-root-snapshot,crates/worth-store/src/physical_runtime/record_serving/publication/director/root_preparation.rs,self.root_owner.snapshot(),Store current-root owner,preserve
ordinary-publication,4,transition-admission,crates/worth-store/src/physical_runtime/record_serving/publication/director/root_preparation.rs,self.root_owner.begin(,Store current-root owner,preserve
ordinary-publication,5,candidate-planning,crates/worth-store/src/physical_runtime/record_serving/publication/director/root_preparation.rs,RootPublicationCandidatePlan::new(,Store root preparation,preserve
ordinary-publication,6,candidate-write,crates/worth-store/src/physical_runtime/record_serving/publication/director/root_candidate_execution.rs,write_root_candidate_artifacts(,Store root candidate writer,preserve
ordinary-publication,7,candidate-synchronization,crates/worth-store/src/physical_runtime/record_serving/publication/director/root_candidate_execution.rs,PhysicalRootPublicationWorkAction::SynchronizeCandidateArtifact,Store root work port,preserve
ordinary-publication,8,atomic-replacement,crates/worth-store/src/physical_runtime/durability/publication/replacement.rs,fn replace_root_candidate(,Store root replacement,preserve
ordinary-publication,9,namespace-durability,crates/worth-store/src/physical_runtime/durability/publication/namespace_durability.rs,fn synchronize_root_namespace(,Store namespace durability,preserve
ordinary-publication,10,current-root-advance,crates/worth-store/src/physical_runtime/durability/publication/current_root_owner.rs,fn advance(,Store current-root owner,preserve
ordinary-publication,11,retained-root,crates/worth-store/src/physical_runtime/durability/publication/current_root_owner.rs,RetainedPhysicalRoot::from_manifest(,Store retained-root truth,preserve
ordinary-mutation-preparation,1,submission-entry,crates/worth-store/src/physical_runtime/record_serving/publication/director/submission.rs,pub fn prepare_durable_append,Store record submission,preserve
ordinary-mutation-preparation,2,source-preflight,crates/worth-store/src/physical_runtime/record_serving/publication/director/durable_preparation.rs,batch.preflight(,Store record preparation,preserve
ordinary-mutation-preparation,3,canonical-fingerprint,crates/worth-store/src/physical_runtime/record_serving/publication/director/durable_preparation.rs,PhysicalMutationRequestFingerprint::derive(,Store mutation equivalence,preserve
ordinary-mutation-preparation,4,idempotency-admission,crates/worth-store/src/physical_runtime/record_serving/publication/director/durable_preparation.rs,admit_unallocated_with(,Store idempotency registry,preserve
ordinary-mutation-preparation,5,operation-identity-reservation,crates/worth-store/src/physical_runtime/record_serving/publication/director/durable_preparation.rs,reserve_mutation_identity(),Store runtime identity owner,preserve
ordinary-mutation-preparation,6,prepared-authority,crates/worth-store/src/physical_runtime/record_serving/publication/director/durable_preparation.rs,PreparedPhysicalMutation::new(,Store durability progression,preserve
ordinary-pre-seal-cancellation,1,handle-request,crates/worth-store/src/physical_runtime/durability/mutation/handle.rs,pub fn request_cancellation,Store mutation attempt,preserve
ordinary-pre-seal-cancellation,2,cancellation-director,crates/worth-store/src/physical_runtime/record_serving/publication/director/pre_seal_cancellation.rs,fn cancel_prepared_before_group_seal,Store record publication director,preserve
ordinary-pre-seal-cancellation,3,atomic-registry-transition,crates/worth-store/src/physical_runtime/durability/mutation/idempotency/registry.rs,fn cancel_before_group_seal,Store idempotency registry,preserve
