id,closure_claim,evidence_required,status,evidence
P3-01,"Paint mechanics derive from admitted canonical paint rather than allocation fallback.","Mounted projection and mutation-control tests.","PROVED","application_contracts::visual_identity::real_filesystem_world_keeps_paint_and_hit_mechanics_non_substitutable proves an allocated hit-only node has no paint mechanic while paint-only and paint-and-hit nodes resolve exact canonical filled rectangles; component_registry::component_visual_contracts::{matching_paint_and_hit_allocations_admit_in_either_builder_order,conflicting_paint_and_hit_allocations_reject_in_either_builder_order} close shared-allocation admission; host-contract static-paint completion tests close mounted mechanic preservation."
P3-02,"Hit-test mechanics derive independently from explicit hit participation and geometry.","Paint/hit divergence tests.","PROVED","application_contracts::visual_identity::real_filesystem_world_keeps_paint_and_hit_mechanics_non_substitutable proves paint-only, hit-only, paint-and-hit, and neither as four independent projection classes with geometry-keyed oracles; application_contracts::visual_identity::egui_cost_counts_runtime_mounted_hit_mechanics proves two runtime-owned hit mechanics survive real egui presentation and cost accounting; component registry matching/conflict tests prevent paint/hit allocation drift."
P3-03,"Every hit-test participant carries a unique explicit total order per surface.","Compile-time type and duplicate/missing-order denials.","PROVED","compile-contract fail/hit_test_requires_distinct_explicit_order.rs plus pass/governed_visual_snapshot_lifecycle.rs prove hit order is explicit and cannot be substituted by paint order; application_contracts::visual_identity::duplicate_hit_order_is_rejected_before_a_candidate_frame_can_publish returns DuplicateHitTestOrder and preserves the prior frame; the canonical four-way journey proves exact hit orders 0 and 1."
P3-04,"A retained mounted-frame trace basis preserves its exact prepared generation, receipt, instance, incarnation, graph node, declaration, authored provenance, and evidence affinity.","Real source-backed native replacement and same-node remount tests with pre-publication authored oracles, bounded index probes, and explicit cleanup.","PROVED","worth_ui_runtime::facade::entry::native_application_replacement::native_application_identity_trace_tests::{retained_predecessor_keeps_its_authored_trace_across_application_replacement,remount_mints_new_runtime_identity_without_losing_authored_affinity} launch the source-backed application through a stateful native operational host, capture declaration/provenance/evidence oracles before publication, and exercise production frame publication, replacement cutover, predecessor retention, unmount, and remount. They prove exact old-versus-new prepared generations across replacement; newly minted receipt, instance, and incarnation identities across remount; unchanged graph, declaration, authored provenance, and ordered deduplicated evidence affinity for the same authored node; bounded retained receipt/node and authored index probes; and released host/surface resources at shutdown. This row credits retained basis fidelity only; the receipt-first public trace workflow remains OPEN at P3-15."
P3-05,"Host-realized rows are validated against the exact retained canonical mechanics.","Adversarial host observation matrix.","PROVED","inspection::visual_snapshot::spatial::tests::validation_rejects_missing_duplicate_cross_participation_and_wrong_order_rows exercises the consuming production validator against missing, duplicate, paint-as-hit, wrong-order, wrong-geometry, and foreign-receipt rows; every mutation returns ProtocolMismatch. The inherited application_contracts::visual_snapshot::phase_2_outcomes::host_region_mismatch_is_protocol_incompatible proves the same denial reaches the public capture outcome, while visual_identity::real_egui_capture_seals_distinct_visible_and_hit_indexes proves exact rows from the real egui adapter cross the boundary and seal."
P3-06,"Visible and hit-test region projection types cannot substitute.","Compile and runtime production-typestate evidence.","PROVED","The capture progression carries concrete UiVisibleRegionIndex and UiHitTestRegionIndex fields from UiValidatedHostVisualCaptureInput through UiIndexedVisualCaptureParts into distinct required UiVisualSnapshotSealInput slots. The consolidated compile twins governed_visual_snapshot_lifecycle.rs and hit_test_index_cannot_replace_visible_index.rs prove the public correlation identities remain distinct; the invalid twin fails with E0308 when a hit identity enters the visible slot. Runtime mutation control rejects paint rows labeled as hit rows."
P3-07,"Visible projection preserves clipping, layer order, paint order, opacity, and disjoint regions.","VS-04 focused integration.","PROVED","inspection::visual_snapshot::spatial::tests::{validation_preserves_disjoint_typed_mechanics_and_half_open_edges,viewport_clipping_excludes_offscreen_and_right_edge_pixels} pass shuffled host rows through production validation/index construction and independently assert two disjoint records for one mounted receipt, exact layer/paint order, opaque versus composited alpha posture, canonical and realized clip lineage, source projection digest, viewport clipping, and right-edge exclusion. The real filesystem+egui capture seals exactly two visible records from the authored four-way world."
P3-08,"Hit projection preserves admitted geometry and total order without paint fallback.","VS-03 focused integration.","PROVED","visual_identity::real_filesystem_world_keeps_paint_and_hit_mechanics_non_substitutable proves the authored four-class world lowers independent paint and hit mechanics; visual_identity::real_egui_capture_seals_distinct_visible_and_hit_indexes carries its two hit mechanics through real egui observation into the receipt's hit index. The owning spatial test asserts exact retained hit receipt, half-open geometry, total order 7, and source digest, while cross-participation and wrong-order mutations deny instead of falling back to paint."
P3-09,"Immutable frame-scoped visible and hit-test indexes are distinct receipt requirements.","Receipt seal and compile boundary tests.","PROVED","UiIndexedVisualCaptureBasis can be created only from one consumed observed capture plus UiValidatedHostVisualCaptureInput containing both concrete immutable indexes; UiVisualSnapshotSealInput and UiVisualSnapshotReceipt require and retain both. The real egui journey proves both typed identities correlate to the exact owner-minted snapshot, carry separate structural digests, report counts 2/2, account four examined rows and retained structure, dispose their registered resource, and leave no alternate receipt-seal path. The consolidated visible/hit compile twins close static non-substitution."
P3-10,"Point adjudication returns visible and hit-test outcomes independently.","Four-class VS-03 matrix.","PROVED","application_contracts::visual_identity::real_egui_snapshot_adjudicates_four_way_identity_from_retained_receipts launches the production filesystem-authored paint-only, hit-only, paint-and-hit, and neither world through the real egui adapter, seals one geometry snapshot, and queries named client pixels through its invariant coordinate scope. At overlap, visible attribution selects authored declaration 0 while exact hit order selects declaration 2, proving neither index nor identity result substitutes for the other; exclusive paint, hit-annulus, and outside pixels prove the remaining semantic postures. The independent oracle is authored declaration index, admitted hit order, and transform-derived geometry rather than production index output."
