current_path,reviewed_content_sha256,review_batch,proposed_action,candidate_action,target_crate,target_subsystem,target_directory,target_path,mechanical_ready,confidence,content_review_required,rationale
workspaces/worth-store/crates/worth-store-io-scheduler/src/backend_capability/mod.rs,428553f0f8b93dc7f6085ee3f4f3e4fa08fbbb618032915a1531fb9d32f7634a,004-io-scheduler-production,split,split,worth-store-io-scheduler,backend_capability,,,false,high,false,"The module mixes aggregation with readiness and security adaptation; keep mod.rs as aggregation and move decisions to named admission modules."
workspaces/worth-store/crates/worth-store-io-scheduler/src/layout_access/foreground_interference_family.rs,f499d4816fdf65743816dd8b934e51fe513e6deed437f0b7c2e8121ca170c39f,004-io-scheduler-production,move,move,worth-store-layout-indexes,catalog/system_families/io_scheduler,catalog/system_families/io_scheduler,workspaces/worth-store/crates/worth-store-layout-indexes/src/catalog/system_families/io_scheduler/foreground_interference.rs,false,high,false,"This adapts scheduler counters and budgets into a durable layout-family report; layout catalog owns the adaptation."
workspaces/worth-store/crates/worth-store-io-scheduler/src/layout_access/mod.rs,343a01857f4cc1442567dd664f4b20a10cc1e3128273497e42d3365ad0244144,004-io-scheduler-production,delete,delete,worth-store-io-scheduler,displaced_parallel_layout_surface,,,false,high,false,"The module only aggregates the parallel layout adapters."
workspaces/worth-store/crates/worth-store-io-scheduler/src/layout_access/pacing_family.rs,62a111f58df5a0a0e58c68f44954bbb161e40c1ec697292c44c1385895b9bda9,004-io-scheduler-production,move,move,worth-store-layout-indexes,catalog/system_families/io_scheduler,catalog/system_families/io_scheduler,workspaces/worth-store/crates/worth-store-layout-indexes/src/catalog/system_families/io_scheduler/background_pacing.rs,false,high,false,"This adapts background pacing outcomes into a durable layout-family report."
workspaces/worth-store/crates/worth-store-io-scheduler/src/layout_access/scheduler_reservation_family.rs,1290653d49b35d3f8d3eb720c0a996d0172a931dbbca1430729952c5e6add40c,004-io-scheduler-production,move,move,worth-store-layout-indexes,catalog/system_families/io_scheduler,catalog/system_families/io_scheduler,workspaces/worth-store/crates/worth-store-layout-indexes/src/catalog/system_families/io_scheduler/foreground_reservation.rs,false,high,false,"This adapts admitted scheduler reservations into a durable layout-family report."
workspaces/worth-store/crates/worth-store-io-scheduler/src/layout_access/tests.rs,e742f39b98f06ff726dc31010a2abb9756dd8a7835c457a22d5b9c72f1bb4f9b,004-io-scheduler-production,move,move,worth-store-certification,courtroom/layout/io_scheduler,courtroom/layout/io_scheduler,workspaces/worth-store/crates/worth-store-certification/src/courtroom/layout/io_scheduler/family_tests.rs,false,high,false,"These tests judge scheduler-to-layout adaptations and use certification-only execution helpers."
workspaces/worth-store/crates/worth-store-io-scheduler/src/lib.rs,61fce93a89ced2a4f785b2959a72ada8194cf30921b53f74714e3e9f5e2caf77,004-io-scheduler-production,keep,keep,worth-store-io-scheduler,facade,src,workspaces/worth-store/crates/worth-store-io-scheduler/src/lib.rs,true,high,false,"The crate root is aggregation-only; displaced milestone and layout exports must be removed."
workspaces/worth-store/crates/worth-store-io-scheduler/src/queue_execution/tests.rs,30b3ea33c3b93f64fe74400cc86d2e03739cb53a047b686ea5852465cb5c4d9b,004-io-scheduler-production,split,split,worth-store-io-scheduler,queue/tests,queue/tests,,false,high,false,"The file exceeds the cap and combines admission execution backpressure and observation scenarios."
workspaces/worth-store/crates/worth-store-io-scheduler/src/s6_later_readiness_handoff/backup_export.rs,53026e51ad05cc895ec3c5b0fc7918b9f0bfc772e5f275cfa0edbcadc0c73d15,004-io-scheduler-production,delete,delete,worth-store-io-scheduler,displaced_future_consumer_wrapper,,,false,high,false,"Backup export should consume ordinary scheduler admission and pacing outcomes rather than a milestone-specific copied handoff."
workspaces/worth-store/crates/worth-store-io-scheduler/src/s6_later_readiness_handoff/compaction.rs,344607eb38797373987d68b8f1c4718781de8f82eea9a1a54d475c30c1ce2af7,004-io-scheduler-production,delete,delete,worth-store-io-scheduler,displaced_future_consumer_wrapper,,,false,high,false,"Compaction should consume ordinary scheduler capabilities rather than a copied milestone handoff."
