edge_id,edge,producer_owner,input_authority,output_artifact,consumer_owner,cardinality,lifetime,failure_owner,cost_contract,allowed_dependency,forbidden_shortcut,phase,adjudication_status,implementation_status
QEDGE-001,"authored binding to installed-operation reference","worth-ui-runtime/source/lower/binding_semantics","file-authored or Rust-authored UI declaration plus capability registry","UI binding identity and unbound typed operation reference","worth-ui-query-binding/application_binding","one output per authored binding","prepared application generation","Worth UI lowering","linear in changed authored bindings","worth-ui-runtime -> worth-ui-query-binding public facade","constructing Query declarations or operation semantics during UI lowering",3,resolved,complete
QEDGE-002,"domain package to installed operation family","worth-ui-query-binding/installed_domain","portable snapshot-read or measurement-record workflow definition plus separately registered executor","Query-installed operation and installed domain handle","worth-query installed operating world","one installation per Query runtime generation","Query installation generation","Query installation","linear in installed Worth UI operation families during runtime construction","worth-ui-query-binding -> worth-query","generic operation registry or per-call semantic construction beside Query installation",2,resolved,complete
QEDGE-003,"operating world to bound operation","worth-query installed operating world","attempt-scoped borrowed operating world plus admitted basis plus installed domain and operation references","move-only Query-bound operation with Query-minted binding identity","worth-ui-query-binding/application_binding","one bound operation per replacement-admission or fact-refresh attempt","one attempt until execute denial or drop","Query bind transition","linear in affected attempts and zero on Query-free applications","worth-ui-query-binding -> worth-query","storing the operating world binding Query from another UI crate or rebuilding world identity from receipts",3,resolved,complete
QEDGE-004,"bound operation to consumer boundary","worth-query consumer support","one current bound operation","one mint-once Query consumer contract temporarily wrapped with Query presentation and allocation posture beside richer UI-only requirements","worth-ui-query-binding/consumer_boundary","exactly one contract mint per bound operation","one attempt until Query consume or drop","Query consumer-contract admission","one support admission per executed or newly admitted binding","worth-ui-query-binding -> worth-query","second mint by rebinding UI-local support and basis posture mirror or placing richer UI policy inside Query requirements",4,resolved,complete
QEDGE-005,"consumer boundary to settled projection","worth-query operation progression","bound operation plus its one consumer contract plus declared projection request","move-only WorthQuerySettledDomainProjection preserving execution publication consumption warnings result state counters and provenance","worth-ui-query-binding/settlement_retention","one settlement per executed binding attempt","one replacement or refresh attempt until complete slot publication or drop","Query progression transition","one execute-publish-consume-settle chain per executed binding and zero later-provider contact after earlier denial","worth-ui-query-binding -> worth-query","assembling settlement from receipts digests facts or copied contract fields",5,resolved,complete
QEDGE-006,"settled projection to retained settlement slot","worth-ui-query-binding/settlement_retention","one exact settled Query projection plus application generation and publication mode","generation-owned opaque settlement slot or complete successor slot value","worth-ui-query-binding/measurement_derivation","one heavyweight retained projection per slot value with many downstream references","candidate-only until application publication or active until framework-turn refresh or retirement","Worth UI settlement retention","constant slot publication per settlement and no per-frame proof clone","worth-ui-runtime -> worth-ui-query-binding opaque artifact","sharing by equal key across unrelated generations partial in-place refresh retaining duplicate proof per plan row or using application replacement for ordinary fact refresh",5,resolved,complete
QEDGE-007,"retained settlement to UI measurement facts","worth-ui-query-binding/measurement_derivation","generation-owned settlement slot plus UI measurement and allocation requirements","UI-owned fact batch with source generation order invalidation and settlement-slot reference","worth-ui-runtime/planning","one derivation per new or changed settlement with many dependent plan links","same application generation as its settlement slot","Worth UI measurement derivation","linear in admitted facts for the changed settlement","worth-ui-runtime -> worth-ui-query-binding read-only access","reconstructing Query basis contract warnings or settlement from UI receipts",5,resolved,complete
QEDGE-008,"UI measurement facts to execution-plan links","worth-ui-runtime/planning","UI fact batch plus canonical application dependency graph plus active generation","compact generation-scoped fact and settlement references on affected plan rows","worth-ui-runtime/execution","many plan links may reference one fact batch","active application generation only","Worth UI plan lowering","linear in affected dependent rows and independent of unrelated application width","internal worth-ui-runtime dependency","placing operating world bound operation consumer contract full settlement store or application-wide lookup on a plan row",7,resolved,complete
QEDGE-009,"active and candidate Query state to application publication","worth-ui-runtime/replacement","complete candidate Query binding state plus host allocation state scheduler state inspection state and prior active generation","one admitted application replacement outcome","worth-ui-runtime/activation","one fan-in join and one publication decision per replacement attempt","replacement transaction","Worth UI application replacement","linear in affected candidate closure with one atomic publication","worth-ui-runtime -> worth-ui-query-binding lifecycle operations","Query-specific publication rollback or partial mutation of active settlement storage",6,resolved,complete
QEDGE-010,"binding comparison to invalidation closure","worth-ui-runtime/replacement/query_binding","exact installed-domain authority plus Query-minted binding identity and currentness plus UI binding meaning plus canonical dependency metadata","typed preserve rebind deny or changed evidence and narrowed affected closure","worth-ui-runtime/planning","one comparison per changed binding and one closure entry per affected dependent","replacement attempt","Worth UI replacement comparison","linear in changed bindings plus affected dependents","internal worth-ui-runtime dependency","using identity string diagnostic digest copied support matrix or global application scan as equivalence authority",6,resolved,complete
