crate,path,line,occurrence_on_line,token_occurrence_on_line,worth_occurrence_in_token,current_token,proposed_token,category,confidence,rationale,line_text
worth-query,crates/worth-query/Cargo.toml,6,1,1,1,WORTH.,Worth.,proper_noun_punctuation_case_reviewed,high,"Reviewed as prose with sentence punctuation, not a canonical namespace.","description = ""Canonical typed query artifact authority for WORTH."""
worth-query,crates/worth-query/Cargo.toml,7,1,1,1,https://github.com/recnepspencer/WORTH,https://github.com/recnepspencer/WORTH,repository_url_out_of_scope_keep,keep,External repository URL casing is intentionally deferred because the repository rename itself is out of scope for this pass.,"repository = ""https://github.com/recnepspencer/WORTH"""
worth-query,crates/worth-query/docs/AI_README.md,1,1,1,1,WORTH,Worth,proper_noun_case_reviewed,high,Reviewed as prose/product proper noun; capital-case Worth is the intended spelling.,# WORTH Query Orientation For AI Agents
worth-query,crates/worth-query/docs/AI_README.md,17,1,1,1,WORTH,Worth,proper_noun_case_reviewed,high,Reviewed as prose/product proper noun; capital-case Worth is the intended spelling.,WORTH Query lives in this stack:
worth-query,crates/worth-query/docs/README.md,1,1,1,1,WORTH,Worth,proper_noun_case_reviewed,high,Reviewed as prose/product proper noun; capital-case Worth is the intended spelling.,# WORTH Query Docs
worth-query,crates/worth-query/src/runtime.rs,718,1,1,1,WORTH_QUERY_GRAPH_OBLIGATION_DISPATCH_ENVELOPE_SCHEME,WORTH_QUERY_GRAPH_OBLIGATION_DISPATCH_ENVELOPE_SCHEME,const_or_env_keep,keep,Rust constants are conventionally SCREAMING_SNAKE_CASE.,"WORTH_QUERY_GRAPH_OBLIGATION_DISPATCH_ENVELOPE_SCHEME,"
worth-query,crates/worth-query/tests/graph_obligation_consumer_kit_facade.rs,54,1,1,1,WORTH_GRAPH_AUTHORITY_QUERY_CONTRACT:,WORTH_GRAPH_AUTHORITY_QUERY_CONTRACT:,screaming_const_or_env_keep_reviewed,keep,Reviewed as Rust constant or environment-style symbol; screaming-snake uppercase is structurally correct.,const WORTH_GRAPH_AUTHORITY_QUERY_CONTRACT: &[WorthGraphAuthorityQueryContractSurface] = &[
worth-query,crates/worth-query/tests/graph_obligation_consumer_kit_facade.rs,131,1,1,1,WORTH_GRAPH_AUTHORITY_QUERY_CONTRACT,WORTH_GRAPH_AUTHORITY_QUERY_CONTRACT,const_or_env_keep,keep,Rust constants are conventionally SCREAMING_SNAKE_CASE.,WORTH_GRAPH_AUTHORITY_QUERY_CONTRACT
worth-query,crates/worth-query/tests/graph_obligation_consumer_kit_facade.rs,138,1,1,1,WORTH_GRAPH_AUTHORITY_QUERY_CONTRACT.iter,WORTH_GRAPH_AUTHORITY_QUERY_CONTRACT.iter,screaming_const_or_env_keep_reviewed,keep,Reviewed as Rust constant or environment-style symbol; screaming-snake uppercase is structurally correct.,assert!(WORTH_GRAPH_AUTHORITY_QUERY_CONTRACT.iter().all(|surface| {
worth-query,crates/worth-query/tests/graph_obligation_consumer_kit_facade.rs,144,1,1,1,WORTH_GRAPH_AUTHORITY_QUERY_CONTRACT,WORTH_GRAPH_AUTHORITY_QUERY_CONTRACT,const_or_env_keep,keep,Rust constants are conventionally SCREAMING_SNAKE_CASE.,WORTH_GRAPH_AUTHORITY_QUERY_CONTRACT
