edge_id,edge,producer_owner,input_authority,output_artifact,consumer_owner,cardinality,lifetime,failure_owner,cost_contract,allowed_dependency,forbidden_shortcut,phase,adjudication_status,implementation_status,completion_evidence
Q914E-001,"authored UI measurement dependency to installed binding reference","worth-ui-runtime source lowering","UI-authored view binding identity result shape and measurement dependency","sealed Worth UI installed-operation binding reference","worth-ui-query-binding application binding","one reference per admitted authored binding","prepared application generation","Worth UI lowering and binding-plan resolution","linear in changed authored bindings and zero for Query-free applications","worth-ui-runtime -> worth-ui-query-binding public facade","constructing Query operation semantics selectors or operating worlds in runtime lowering",1,resolved,complete,"the adjudicated edge is implemented by the existing sealed installed-reference lowering and remains the sole Phase 2 entry"
Q914E-002,"consumer projection contract to bound native request and key","worth-ui-query-binding snapshot request owner","exact Query consumer projection contract for one bound operation","one built WorthQueryBoundProjectionRequest plus its contract-resolved WorthQueryNativeAccessKey values","Query consume_bound progression retained by worth-ui-query-binding","one request and k keys per executed binding attempt","single operation attempt through settlement or typed stop","Query request builder and key resolution","O(k) selections for k declared UI facts with no projection scan","worth-ui-query-binding -> worth-query facade::installed","building a key from a UI field path string ordinal copied fact or another consumer contract",2,resolved,complete,"snapshot_native_request builds the bound request and resolves the native key from the same exact consumer contract"
Q914E-003,"bound operation to exact settled projection","Query installed operation progression","bound operation exact consumer contract and its bound projection request","move-only WorthQuerySettledDomainProjection with exact Query authority posture warnings provenance and counters","worth-ui-query-binding settlement retention","one settlement per successful execution attempt","candidate attempt until admission then retained source lifetime","Query execute publish consume and settle transitions","one typed progression per executed binding with no later-provider contact after earlier stop","worth-ui-query-binding -> worth-query facade::installed","assembling a settlement from receipts facts strings or copied contract fields",2,resolved,complete,"the zero-argument UI progression drives execute publish consume_bound and settle while retaining the exact move-only projection"
Q914E-004,"settled projection and native key to selected native value","Query native-access owner","exact settled or refreshed projection plus its pair-bound native key and row","borrowed Query native field access result or typed Query denial with exact counters","worth-ui-query-binding measurement refinement","one access per declared key and requested row","one derivation attempt","Query native-access boundary","O(1) per key and row; zero fact scans row scans and path parses","worth-ui-query-binding -> worth-query facade::installed","scanning display or derived fields falling back to ordinal access or caching a UI-owned selector map",2,resolved,complete,"measurement derivation performs one pair-bound native_value access and carries the exact Query counters and denial"
Q914E-005,"exact installed and lifecycle authority to admitted UI binding reference","worth-ui-query-binding source admission","exact installed reference plus owner-specific current compatibility replacement or rebind relationship","sealed UI-local binding-authority reference","worth-ui-runtime graph replacement planning and evidence owners","one current reference per admitted binding epoch with many downstream borrows","installed binding epoch","worth-ui-query-binding owner-specific validation","O(1) per admission or exact relationship check with no string digest","worth-ui-runtime -> worth-ui-query-binding public validation facade","minting from binding labels digests slot indexes source generations or a relationship witness for a different question",3,resolved,complete,"settled_authority privately mints the binding reference only after exact installed-reference validation"
Q914E-006,"exact settlement to admitted UI settlement reference","worth-ui-query-binding settlement admission","exact retained settled or refreshed Query projection plus current installed binding authority","sealed UI-local settlement reference for one source revision","worth-ui-runtime measurement graph touch and allocation owners","one source reference per admitted settlement revision with many compact downstream borrows","one retained settlement revision in one UI application generation","worth-ui-query-binding settlement validation","O(1) mint at slot publication and no per-dependent Query validation","worth-ui-runtime -> worth-ui-query-binding opaque reference surface","minting from settlement label copied binding label source order native bytes pointer address supplied by a caller or forcing settlement revision into stable plan identity",3,resolved,complete,"the owner privately mints one unique settlement reference per admitted projection revision and exposes only opaque clones"
Q914E-007,"selected native value to UI measurement consequence","worth-ui-query-binding measurement refinement","borrowed admitted Query native access plus UI measurement declaration and admitted source references","complete UI-owned measurement consequence with canonical value source coordinates and diagnostic posture","worth-ui-query-binding downstream state then worth-ui-runtime measurement evidence","one complete consequence per admitted settlement or refresh","same source revision and UI application generation as its settlement reference","Worth UI measurement refinement","O(k) in admitted UI measurement facts independent of unrelated projection width","internal worth-ui-query-binding then opaque facade to worth-ui-runtime","copying the Query fact bag reminting Query denial taxonomy or deriving selection from value shape",4,resolved,complete,"successful refinement creates one complete WorthUiSettledSnapshotFact and typed denial creates no consequence"
Q914E-008,"UI measurement consequence to retained slot and compact plan links","worth-ui-query-binding downstream settlement owner","complete measurement consequence exact retained projection and application publication mode","one complete generation-owned consequence slot stable binding-slot plan links and revision-specific fact touch or allocation references","worth-ui-runtime planning allocation and execution","one heavyweight slot with many compact dependent links","active application generation with one current source revision per slot","Worth UI slot publication and plan lowering","constant slot publication per consequence then linear only in affected dependents and requested rows; refresh does not relower stable plan links","worth-ui-runtime -> worth-ui-query-binding opaque read surface","copying Query proof key or full consequence per plan row global slot search cross-generation link partial in-place refresh or embedding settlement revision in plan equivalence",4,resolved,complete,"retention publishes one complete slot value; stable plan links resolve current state while fact touch and allocation evidence remains revision-specific"
Q914E-009,"shared live lease delivery to admitted invalidation delta","Query shared projection owner and lease","current move-only lease plus drained semantic delivery and current Query workspace","capability- and generation-bound admitted consumer invalidation delta","Query collection consumer retained inside worth-ui-query-binding","one admitted delta per nonempty current delivery","single refresh attempt through patch planning or typed stop","Query lease delta and readmission boundaries","bounded by exact delivered and compiled affected scope with no UI full-collection scan","worth-ui-query-binding -> worth-query facade::installed","using copied generation region stream metadata Foundational locator raw CDC or replay as invalidation authority",5,resolved,complete,"operation_live/resource.rs drains the retained move-only lease and admits the exact delta before collection binding; Query stale-lease hostile tests deny before mutation"
Q914E-010,"admitted invalidation delta to exact applied Query patch receipt","Query collection window and patch owner","current collection consumer current workspace and exact admitted lease delta","WorthQueryCollectionPatchApplicationReceipt or typed no-delivery or reset posture","worth-ui-query-binding patch translator","at most one applied receipt per admitted delta and delivery ordinal","single ordered consumer maintenance step","Query window binding patch planning and application","O(p + f) in applied operations and affected facts rather than collection width","worth-ui-query-binding -> worth-query facade::installed","diffing the full collection applying a patch from another lease reordering duplicate application or partial mutation after reset",5,resolved,complete,"the retained Query collection window binds the admitted delta then plans and applies exactly one patch; reset-required and pending-delivery tests preserve predecessor truth"
