edge_id,edge,source_owner,input_artifact,input_authority,output_artifact,destination_owner,validation,weakened_output,lifecycle,denial,cost_contract,eventual_disposition,allowed_dependency,forbidden_shortcut,phase,manual_resolution,adjudication_status,implementation_status,completion_evidence
M310E-001,"Admitted runtime tuple to mounted-instance projection","worth-ui-runtime application graph measurement allocation and plan owners","Exact admitted application generation graph world measurement consequences committed allocation and execution plan","Each upstream owner retains authority; mounting receives opaque exact references and semantic inputs","Mounted instance delta and zero-to-many mounting indexes","worth-ui-runtime/mounting/identity node_projection and indexes","Exact runtime-world application graph and source-basis affinity before mutation","Inspection labels digests and authored declarations cannot be operational inputs","Initial mount or one admitted changed-instance delta","Foreign stale mixed incomplete or disclosure-invalid input denies without index mutation","Initial O(mounted semantic closure); steady O(changed instances plus affected indexes)","Become the sole construction edge for mounted instances","internal worth-ui-runtime dependency only","Minting identity from graph node digest position geometry native widget ID or public scalar",2,"Graph retains semantic identity while mounting owns incarnation surface and frame relationships","resolved","complete","Phase 2 and 3 runtime/model evidence"
M310E-002,"Graph semantic instance basis to mounted incarnation identity","worth-ui-runtime graph identity owner","Graph node identity plus admitted repeated-instance basis semantic surface and operating world","Exact graph meaning and mounting lifecycle state","Owner-minted UiMountedInstanceIdentity with opaque mount incarnation","worth-ui-runtime/mounting/identity","Reorder preserves active incarnation; actual unmount closes it; remount mints a new one","Printable IDs order indexes geometry and host handles","Mount incarnation across frames until actual unmount or world retirement","Duplicate active mount stale unmount foreign world and resurrection deny","O(1) transition plus affected index work","Replace UiMountedReceiptIdentity one-to-one transition edge","graph -> mounting internal module direction","Using stable list position or content equality as instance identity",2,"Reorder and unmount/remount are separately adjudicated lifecycle operations","resolved","complete","Phase 2 bounded model and hostile controls"
M310E-003,"Semantic surface to host surface binding generation","worth-ui-runtime mounting and worth-ui-host-contract registration owners","Owner-minted semantic surface identity host-session-owned registered surface capability scale coordinate resource and presentation mode","Separate exact semantic and native identities plus registration authority","UiSurfaceBindingGeneration","worth-ui-runtime/mounting/identity and host_exchange/presentation_admission","Known-empty registration current host session capability compatibility and exact generation","Surface names OS handles and capability summaries","Current association until reset deregistration session end or explicit rebind","Missing stale foreign unsupported or unclassified surface denies before effects","O(1) per binding; O(required surfaces) per attempt","Become the only semantic-to-native association edge","runtime may use host-contract inert values; adapter implements registration mechanics","Equating semantic surface with native handle or reminting from matching scalar values",2;5,"The two endpoint identities and their association remain separate types and rows","resolved","complete","Phase 2 identity and Phase 5 admission evidence"
M310E-004,"Mounted instance to frame-scoped node receipt","worth-ui-runtime/mounting/node_projection","Current mounted instance exact frame identity admitted semantic meaning and affected allocation/plan projections","Runtime-owned current mount and upstream opaque bases","UiMountedNodeReceipt with separate paint input focus hit-test accessibility motion and diagnostic participation","worth-ui-host-contract/mounted_frame inert receipt consumed by runtime frame assembly","Completeness schema disclosure audience and exact instance/frame affinity","Rich authored Query causal credentials and diagnostic-only explanations","One immutable prepared-frame candidate","Incomplete over-disclosed foreign stale or mixed-frame projection denies whole candidate","O(changed instances plus compact affected facts); no generic receipt per primitive","Become the sole mechanical node projection edge","worth-ui-runtime -> worth-ui-host-contract public inert contract","Copying application declarations Query rows or upstream proof into the host receipt",3,"Mechanical projection is complete enough for adapters yet weaker than semantic authority","resolved","complete","Phase 3 independent authored expectations and hostile disclosure tests"
M310E-005,"Lane execution contributions to complete mounted frame assembly","worth-ui-runtime execution lane owners","All participating admitted lane receipts cross-lane execution bundle mounted node receipts required surface manifest and exact basis references","Execution owns lane truth; mounting owns completeness and frame identity","UiPreparedMountedFrame and sealed UiMountedFrameReceipt","worth-ui-runtime/mounting/frame_assembly plus worth-ui-host-contract/mounted_frame","All required lanes surfaces nodes compact tables protocol schema integrity cost and recovery posture agree before sealing","Per-lane envelope summary and optional trace sidecars","One assembly attempt until admission presentation or drop","Missing duplicate foreign generation-mixed over-budget or unsupported candidate denies before effects","O(changed contributions plus compact batches and affected surfaces); no surfaces*nodes cross product","Replace lane-local host-output projection and direct preview candidate paths","internal runtime assembly using host-contract inert values","Presenting a lane receipt treating non-empty as complete or minting frame identity from content digest",4,"Every lane and preview contribution is fan-in to one candidate and no contribution is independently presentable","resolved","complete","Phase 4 assembly/model evidence"
M310E-006,"Preview semantic output to canonical mounted frame","worth-ui-runtime allocation frame dispatch and drag-resize owner","Admitted preview semantic surface allocation graph and execution contribution","Same upstream authority as any other mounted contribution","Preview surface contribution inside UiPreparedMountedFrame","worth-ui-runtime/mounting/frame_assembly","Exact preview surface and tuple basis plus complete frame validation","UiHostPreviewPaintInput and discard diagnostic reason","Candidate frame lifecycle rather than direct callback lifecycle","Superseded invalid or incomplete preview produces typed no-publication outcome","O(affected preview contribution and surface)","Delete direct WorthUiPreviewPaintHost resolve and discard path after cutover","internal runtime only then canonical host contract","Calling host paint before full-frame admission or retaining a compatibility callback",4;7,"Preview is not a special native-effect authority","resolved","complete","Phase 4 parity then Phase 7 deletion"
M310E-007,"Prepared mounted frame to admitted presentation attempt","worth-ui-runtime/mounting/frame_assembly","Complete sealed prepared frame exact host session protocol schema required manifest surface bindings capability and recovery posture","Preparation proves completeness but grants no host effects or publication","UiAdmittedMountedPresentationAttempt with frozen binding set","worth-ui-runtime/host_exchange/presentation_admission","Negotiate protocol and validate every required binding capability and complete frame basis before effects","Diagnostic compatibility labels and receipt digests","Attempt-scoped through all completions rejection cancellation pending or indeterminate","Any preflight mismatch returns typed denial with no native effects","O(required surfaces plus protocol capability checks)","Become the only runtime-to-adapter admission edge","worth-ui-runtime -> worth-ui-host-contract; adapter crates -> host-contract","Calling one surface or adapter before all surfaces pass preflight",5,"Frozen all-surface admission is the protection against mixed generations and partial preflight effects","resolved","complete","Phase 5 scripted-host and real-adapter evidence"
M310E-008,"Admitted attempt to per-surface native completion","worth-ui-host-contract adapter port implemented by headless and egui","Admitted frame view and one frozen required surface-binding set","Runtime admission authority; adapters own only native mechanics","Typed per-surface presented rejected-before-effects pending or effects-indeterminate completion evidence","worth-ui-runtime/mounting/presentation_reconciliation","Completion protocol identity sequence surface binding frame basis and declared presentation mode","Adapter logs debug labels screenshots and non-empty render output","Attempt and bounded in-flight completion lifecycle","Lost reordered duplicate foreign cancellation and partial-effect results never become complete success","O(translated output plus completions) with explicit in-flight and queue bounds","Replace consume_output Consumed/Rejected contract","host adapter -> worth-ui-host-contract only; runtime coordinates results","Treating record-only as pixels presented or inferring success from callback return",5,"Headless transcript scripted host and egui consequences have deliberately different proof scopes","resolved","complete","Phase 5 independent protocol and adapter observers"
M310E-009,"All-surface presentation evidence to atomic current tuple publication","worth-ui-runtime/mounting/presentation_reconciliation","Complete exact presentation evidence plus fully prepared application graph plan allocation indexes and frame handles","Presentation evidence proves effects only; publication owner validates exact candidate affinity","UiMountedFramePublicationEvidence and atomically current runtime tuple","worth-ui-runtime/mounting/publication","Every required surface completed declared mode and all prepared handles match one candidate; commit path is infallible","Presentation logs receipt equality and application publication observation","One total commit after complete presentation","Rejected or preparation failure preserves predecessor; indeterminate leaves predecessor current and blocks affected bindings","O(1) handle swap over prebuilt state with no allocation decision or external call","Become the sole success publication edge for ordinary turns and replacement","internal worth-ui-runtime only","Publishing application plan allocation or indexes before complete frame evidence or attempting host rollback",6,"Presentation and publication evidence remain separate so neither can authorize the other implicitly","resolved","complete","Phase 6 fault-injection and current-tuple inspection"
M310E-010,"Replacement candidate to same mounted publication owner","worth-ui-runtime application replacement","Complete candidate application graph plan allocation Query binding relationships and affected mounted projection","Replacement owner prepares candidate; it does not publish mounted truth independently","Prepared and presented replacement candidate","worth-ui-runtime/replacement/mounted_publication delegating to mounting/publication","Exact predecessor candidate and host binding relationships; same presentation/publication checks as ordinary frames","Replacement digest or observation labels","Replacement transaction through publish preserve retry or indeterminate block","Any candidate preparation or presentation failure preserves complete predecessor tuple","Linear in changed application and affected mounted closure; no unrelated source rediscovery","Remove early replacement publication and converge on M310E-009","internal worth-ui-runtime dependency","Publishing a replacement frame through a second commit path or partially updating Query/UI/mount state",6,"Replacement is an alternate source of candidates not an alternate publication authority","resolved","complete","Phase 6 real replacement lifecycle"
