subsystem_id,subsystem,search_seed,search_scope,current_role,query_9_14_authority,classification,target_action,target_home,phase,manual_resolution,adjudication_status,implementation_status,exit_trigger,completion_evidence
QMOD-001,Installed operation semantic closure,"measurement_schema|measurement_selector|measurement_allocation_operation","worth-ui-query-binding/src/installed_domain/snapshot_measurement;worth-ui-query-binding/src/installed_domain/measurement_recording","Declares stable schema selectors result shape read meaning and mutation meaning once per installed package","WorthQueryDomainOperationDefinition installed with the domain package",replace,"Declare typed snapshot-measurement read and measurement-record workflow operations once; remove all per-call semantic construction from ordinary and certification gateways","worth-ui-query-binding/installed_domain/snapshot_measurement;worth-ui-query-binding/installed_domain/measurement_recording",2,"Stable Query meaning is Query declaration authority; UI may name its domain operation but may not reconstruct it on each call",resolved,complete,,"Equivalent real installations bind the same installed operation identity and semantic drift denies stale executors; the predecessor managed-live declaration adapter and detached open_using constructor are deleted"
QMOD-002,Installed operation executors,"graph_read_operation|record_measurement|local_collection_with_installed_operation","worth-ui-query-binding/src/compatibility/legacy_projection;worth-ui-query-binding/src/installed_domain/snapshot_measurement;worth-ui-query-binding/src/installed_domain/measurement_recording","Mixes volatile execution mechanics with stable operation meaning","Query package installs stable meaning and registers volatile executors separately",replace,"Place each volatile executor beside its stable definition inside the owning operation-family directory; missing executors deny through Query","worth-ui-query-binding/installed_domain/snapshot_measurement;worth-ui-query-binding/installed_domain/measurement_recording",2,"The executor is mechanism not declaration authority even when both currently live in one extension trait",resolved,complete,,"Real registered read and workflow executors execute through Query; exact registration-set mismatch and semantic-executor drift deny runtime construction before UI authority"
QMOD-003,Installed Worth UI domain reference,"WorthUiInstalledQueryDomain|rebind_to|shares_authority_with","worth-ui-query-binding/src/installed_domain","Retains the exact Query-installed domain handle and exposes UI-specific installation and rebind entry points","WorthQueryInstalledDomainHandle and Query rebind receipt",retain,"Keep only opaque exact-handle retention and UI domain reference ergonomics; do not let the wrapper activate or reconstruct an operating world","worth-ui-query-binding/installed_domain/reference",3,"This wrapper preserves Query authority rather than mirroring it; its authority-increasing methods are the part that must narrow",resolved,complete,,"The wrapper retains only the exact Query handle and exact rebind receipt; foreign workspaces deny before binding"
QMOD-004,Application Query binding plan,"WorthUiQueryBindingPlan|WorthUiInstalledQueryBindingPlan|activate","worth-ui-query-binding/src/entry/binding_plan.rs;worth-ui-runtime/src/facade/prepared_application_authority","Owns an installed domain plus local definitions and activates a UI-local binding world","WorthQueryInstalledOperatingWorld is the one ordinary attempt-scoped operating-world root",replace,"Reduce the plan to UI declaration and installed-operation reference ownership; route preparation replacement admission and fact refresh through one binding-owned operating-world gateway","worth-ui-query-binding/application_binding/operating_world_gateway",3,"Query-free application posture remains valid; an installed application must not create or store a second operating-world root",resolved,complete,,"The plan owns only installed references and Query-free posture; public file and Rust journeys bind through the attempt-scoped Query gateway"
QMOD-005,Runtime Query binding subsystem,"WorthUiRuntimeQueryBinding|WorthUiInstalledDownstreamQueryState","worth-ui-query-binding/src/entry/runtime_binding.rs;worth-ui-query-binding/src/entry/downstream_state","Stores installed references exact settlements and operation-native resources without owning Query progression","Query bound operation plus consumer boundary owns progression; UI binding owns installed references and downstream facts",replace,"Remove Query progression and predecessor projection retention from runtime state; retain only exact installed references settlements and operation-native resources","worth-ui-query-binding/application_binding;worth-ui-query-binding/entry/downstream_state",3,"The runtime state is legitimate only while every retained Query artifact remains exact and owner-minted",resolved,complete,,"Runtime preparation creates no Query operating world or bound operation; exact settlements and operation-native resources enter only through their owning progression boundaries"
QMOD-006,Installed UI view declaration,"WorthUiInstalledQueryView|measurement_view_with_lifecycle|QueryDeclarationUnavailable","worth-ui-query-binding/src/declaration/installed_view.rs;worth-ui-query-binding/src/application_binding/installed_operation_reference.rs","Turns a UI view declaration into old snapshot or live Query declarations and flattens declaration stops","Bound Query domain operation and typed Query progression denials",replace,"Retain UI view identity and presentation shape but resolve it to a sealed installed-operation reference; preserve exact Query stop topology","worth-ui-query-binding/application_binding/installed_operation_reference",3,"The UI declaration is legitimate UI meaning; the installed declaration mechanism and flattened stop are obsolete",resolved,complete,,"View registration validates UI identity lifecycle and shape then seals the exact operation marker into the prepared reference; the gateway consumes that reference without reconstructing operation choice"
QMOD-007,UI binding contract digest,"WorthUiQueryBindingContractIdentity|from_definitions","worth-ui-query-binding/src/declaration/binding_contract_identity.rs;worth-ui-runtime/src/runtime/replacement","Folds local definition digests and participates in support admission rebind and no-op decisions","Query consumer projection contract carries exact binding and support identity",diagnostic-only,"Remove it from admission equivalence and no-op authority; retain a clearly named diagnostic digest only if inspection still needs it","worth-ui-inspection/query_binding",4,"A digest can summarize UI declarations but cannot promote itself into current Query authority",resolved,complete,,"The local binding-contract identity type and file are deleted; replacement authority now requires exact installed authority and Query binding evidence"
QMOD-008,Query prerequisite basis model,"WorthUiQueryPrerequisiteBoundary|WorthUiQueryBasisAuthority|WorthUiQueryBasisPosture|ResolvedSnapshotBasis","deleted","Formerly repackaged Query basis support and projection-consumption posture into UI-local authority","WorthQueryConsumerProjectionContract and WorthQueryConsumerBoundary",delete,"Consume Query-minted support and exact settlement facts; retain only separately named UI allocation requirements","worth-ui-query-binding/application_binding/consumer_boundary",4,"A faithful semantic mirror still drifts independently and therefore cannot remain as compatibility",resolved,complete,,"The prerequisite basis model and its constructors are deleted; runtime admission consumes an exact settled Query fact plus UI binding identity"
QMOD-009,Consumed projection authority wrapper and index,"WorthUiQueryAuthorityHandle|WorthUiQueryAuthorityIndexKey|projection_contract_identity","deleted;worth-ui-query-binding/src/application_binding;worth-ui-query-binding/src/entry/downstream_state","Formerly retained consumed authority behind local Query authority wrappers","WorthQuerySettledDomainProjection carries exact authority execution publication warnings result state counters and provenance",delete,"Retain the exact settled projection as the upstream artifact and derive only non-authoritative lookup keys","worth-ui-query-binding/application_binding;worth-ui-query-binding/entry/downstream_state/settled_snapshot",5,"The exact move-only Query settlement supersedes opaque local authority wrappers",resolved,complete,,"The former authority handle index and projection-contract identity are deleted; one exact settlement is retained and its slot index rebuilds equivalently"
QMOD-010,Query measurement fact settlement,"WorthUiSettledSnapshotFact|WorthUiSettledQueryFactReceipt|WorthUiQueryAllocationSource","worth-ui-query-binding/src/application_binding/settled_measurement_fact;worth-ui-runtime/src/evidence/measurement","Derives allocation-facing measurement facts generations ordering warnings and invalidation from one exact Query settlement","WorthQuerySettledDomainProjection is upstream authority; UI measurement facts are downstream derivation",retain,"Derive UI measurement observations and source coordinates only from the exact settled projection","worth-ui-query-binding/application_binding/settled_measurement_fact;worth-ui-query-binding/entry/downstream_state/settled_snapshot",5,"The UI allocation fact is real UI meaning while Query progression and support remain owner-minted",resolved,complete,,"Snapshot execution publishes consumes and settles through Query once; one settled-fact receipt path derives UI observations with typed source coordinates and no predecessor adapter"
QMOD-011,Local Query support receipt,"WorthUiQuerySupportStatus|WorthUiQuerySupportReceipt|support_status_for_runtime_hook","worth-ui-runtime/src/runtime/replacement/admission/worth_ui_query_support_receipt.rs","Folds local hooks into supported deferred or unsupported and currently treats every hook as supported","WorthQueryConsumerProjectionContract is the sole Query support contract",replace,"Delete the local support enum and fold; let the binding owner carry the single-use Query contract only until it moves into consumption or the candidate is dropped","worth-ui-query-binding/consumer_boundary/contract_progression",4,"This is the clearest competing Query authority and cannot be repaired by making the local fold smarter",resolved,complete,,"The local support receipt file status enum hook fold counters and admission dependency are deleted; real Query unsupported denial and mint-once rejection are tested"
QMOD-012,Local Query binding posture,"WorthUiQueryBindingPosture|SupportAdmission|BasisCapability|AsyncResultState|Recovery|ProjectionConsumption","worth-ui-runtime/src/runtime/replacement/query_binding/posture.rs","Mirrors Query support basis live async recovery inspection projection and denial dimensions","Query consumer contract owns Query dimensions and Query boundary requirements own coarse presentation and allocation posture; Worth UI owns richer allocation result-shape denial-presentation and inspection relevance",replace,"Delete mirrored Query fields; keep one distinct UI-only binding-requirements type while the binding owner places only Query-recognized posture into the temporary Query boundary","worth-ui-runtime/runtime/replacement/query_binding/ui_requirements",4,"Denial presentation is UI meaning; the other copied dimensions are Query meaning and must not share one posture product",resolved,complete,,"The mirrored posture product is replaced by explicitly UI-owned requirements; presentation drift remains visible but cannot manufacture Query support or preservation authority"
QMOD-013,UI binding identity,"WorthUiQueryBindingIdentity|view_binding_id|query_view_identity|result_shape","worth-ui-runtime/src/runtime/replacement/query_binding/identity.rs","Pairs UI binding identity with Query view identity and UI result-shape requirement","UI owns placement and presentation identity while Query owns installed-domain authority bound-operation identity and settled authority",retain,"Keep UI binding identity but replace local Query-view digest inputs with exact installed-domain authority Query-minted binding identity and a generation-scoped settled-slot reference","worth-ui-runtime/runtime/replacement/query_binding/identity",6,"UI and Query identities are both necessary and neither may be collapsed into the other",resolved,complete,,"UI binding and result-shape identity remain distinct while replacement evidence attaches exact installed authority and the retained Query-minted binding identity"
QMOD-014,Query binding comparison and no-op equivalence,"WorthUiQueryBindingComparison|posture_drifts|PreserveMeaning|RebindRequired","worth-ui-runtime/src/runtime/replacement/query_binding;worth-ui-runtime/src/runtime/replacement/query_live_rebind","Classifies replacement by UI identity local posture and several locally folded digests","Exact installed-domain authority plus Query-minted bound-operation identity and currentness plus UI binding meaning define replacement equivalence",replace,"Compare exact installed authority Query binding identity installation currentness and UI-only meaning; make local hashes support projections and identity strings insufficient alone","worth-ui-runtime/runtime/replacement/query_binding/equivalence",6,"The replacement pipeline is valid UI ownership but its present equivalence basis is not",resolved,complete,,"Production comparison requires equal exact installed references and current installation plus retained active Query-minted settlement identity or exact managed-live evidence; a present candidate settlement must carry the same Query identity. Missing one-sided stale foreign or unequal authority fails closed to rebind while UI-only drift remains independently classified; final succession revalidates currentness before publication"
