"id","layer","subsystem","authority_edge","current_code_surface","current_authority_or_data","current_assessment","missing_boundary_or_bypass","target_code_surface","target_authority","required_transition_sequence","required_cutover","mechanical_enforcement","runtime_or_courtroom_evidence","depends_on","phase34_scope","priority","status"
"1","shared grammar","domain authority issuance","owner decision to issued capability","forge-proof owner-local outcomes plus sealed security recovery blob and physical owner capabilities","operation-local authority grammar and read-only outcome projections","All current layout read maintenance migration integrity recovery physical-compaction imported-blob and restore families issue opaque outcomes from owner-local private cases","No known cross-crate materialization handoff accepts a generic witness copied receipt report or scalar identity","each permanent operation owner/private issuance module","opaque owner-issued capability carrying an owner-private case","owner decision -> owner-private case -> owner-issued capability -> read-only outcome view","Completed cross-crate blob and restore handoffs without a crate-wide issuer; Store authority identity survives security family blob and restore lineage","Compile-fail sibling and external issuance; residue and dependency gates reject generic owner factories and upward ownership","All advertised owner cases are observed through ordinary operations with exact set equality","none","direct","critical","proven_complete"
"2","shared grammar","current Store authority","Store scope to domain admission","forge-store-authority::StoreCurrentAuthorityWitness; artifact_family/admission.rs; keyspace/admission.rs","current Store security enters one private family capability and one private domain capability","Every ordinary planning and execution path requires the exact admitted family and domain; current Store authority remains only a prerequisite or explicit rebind comparator","No direct promotion remains from Store authority plus copied declarations identities or projections","artifact_family/admission.rs and each later owner admission","owner-specific capability retaining exact Store authority lineage","current Store authority -> family admission -> domain admission -> operation admission","Migrate all remaining consumers away from intermediate catalog authority and prevent direct promotion from Store witness","Compile-fail Store witness plus copied ids cannot construct family domain request selected ready or executed capability; residue rejects StoreCurrentAuthorityWitness in later admission modules","Cross-store and equal-looking cross-security substitutions deny before planning","1","direct","critical","proven_complete"
"3","shared grammar","aspect-native representation","external declaration to native admission","forge-foundational adapters and Store native values; architecture_residue_tests.rs","native declarations receipts diagnostics and terminal projections remain observational until owner admission","Layout production contains no serde authority and all projection/readmission UI cases require owner-issued private-field capabilities","No deserialized diagnostic projection or digest reconstruction lane remains in the layout authority graph","owner declaration and readmission modules","native raw declaration that has no execution power until owner admission","deserialize or observe -> raw native declaration -> owner readmission -> private-field capability","Keep serde and terminal projections declaration-only; prohibit scalar or digest reconstruction","Recursive production-source residue rejects serde authority; compile-fail projection-to-capability and readmission suites","Hostile equal-value different-source declarations remain non-authoritative","1","supporting","high","proven_complete"
"4","catalog input","artifact inventory","inventory row to family declaration","artifact_family/inventory_rows; catalog/declaration.rs","PhysicalArtifactFamilyDeclaration","Cold inventory is exposed through layout_families while intermediate authority and lifecycle witnesses are no longer exported","No known inventory path can enter executable planning without explicit family admission","artifact_family/declaration.rs and artifact_family/inventory/","permanent family declaration with no execution capability","inventory row -> family declaration -> explicit family admission","Keep cold declaration vocabulary separate from executable admissions","Compile-fail raw declaration; structural residue rejects intermediate authority exports","Inventory equality cannot substitute for admitted family identity","3","direct","high","proven_complete"
"5","semantic admission","artifact family","family declaration to admitted lifecycle","artifact_family/admission.rs","AdmittedPhysicalArtifactFamily retaining declaration lifecycle and exact Store security identity","Executable consumers retain AdmittedPhysicalArtifactFamily; lifecycle and authority witnesses are crate-private implementation details and absent from layout_families","No known public consumer can substitute an intermediate catalog witness for admitted family authority","artifact_family/admission.rs","AdmittedPhysicalArtifactFamily as the sole executable family capability","declaration + current Store authority -> admitted family","Keep intermediate lifecycle and authority stages owner-private","Private fields; compile-fail direct construction; residue rejects public intermediate exports","Same-family cross-authority substitution denies","2;4","direct","critical","proven_complete"
"6","semantic admission","key-domain declaration","raw domain schema to admissible input","keyspace/declaration.rs plus low-level law modules","PhysicalKeyDomain and raw law inputs","Raw key-law vocabulary remains available for schema and diagnostics but executable planning accepts only AdmittedPhysicalKeyDomain","No known raw domain or individual law enters request planning or execution","keyspace/declaration.rs","non-executable key-domain declaration owned by keyspace","family declaration + raw domain schema -> key-domain admission request","Keep raw law vocabulary observational and preserve the admitted-domain gate","Compile-fail raw domain cannot enter request planning or execution","Raw equal domain labels do not satisfy admitted-domain inputs","4","direct","high","proven_complete"
"7","semantic admission","key laws","family-bound domain to complete law suite","keyspace/admission.rs","AdmittedPhysicalKeyDomain retaining family authority encoding comparator collision ordering tenant partition and optional prefix/range laws","Strategy request planning and ordinary operations consume AdmittedPhysicalKeyDomain; raw witnesses survive only as read-only internals and law diagnostics","No known executable consumer accepts individual laws in place of the opaque admitted domain","keyspace/admission.rs","AdmittedPhysicalKeyDomain as sole executable key-law capability","admitted family + domain declaration -> validate exact applicable law suite -> admitted domain","Keep executable APIs typed to the opaque admitted domain","Private fields; compile-fail direct construction and raw law entry","Exact page and root law suites plus cross-security denial","5;6","direct","critical","proven_complete"
"8","semantic admission","concrete physical key","application key to canonical physical identity","keyspace/value.rs; keyspace/request_identity.rs","AdmittedConcretePhysicalKey and AdmittedPhysicalAccessIdentity","Ordinary page WAL blob and physical-reference keys are admitted under an exact domain before canonical identity issuance; raw witnesses are crate-private boundary vocabulary","No raw-key constructor or raw witness is exported through the crate root and request admission accepts only AdmittedConcretePhysicalKey","keyspace/value.rs","domain-bound concrete key capability and canonical request identity","admitted domain + raw key -> domain-specific validation -> admitted concrete key -> canonical identity","Inventory every raw-key consumer and retain raw constructors only behind declaration or boundary adapters","Compile-fail raw concrete key cannot enter request admission","Comparator-sensitive canonical identity cross-domain substitution and blob/replay scenarios","7","direct","critical","proven_complete"
"9","semantic admission","operation intent","raw access declaration to admitted intent","access/shape plus access/intent.rs","AccessShapeContract is consumed only at request admission; AdmittedAccessIntent retains operation semantics without coverage","Shape declarations carry only operation lane counter and traversal semantics; no shape module imports LayoutCoverageWitness and read recovery mutation request capabilities retain lifecycle-specific authority","No known raw shape or hybrid test fixture can validate carry or expose materialization authority","access/intent/ with operation-specific declarations","AdmittedAccessIntent containing operation semantics only","raw operation declaration -> family/materialization compatibility -> admitted intent -> planning and execution","Completed: removed coverage fields accessors parameters and hybrid planning helpers; exactness is checked by materialization admission and request admission","Structural residue recursively rejects LayoutCoverageWitness anywhere under access/shape; private request wrappers and compile-fail tests reject raw shape promotion","All 129 library scenarios and all 10 compile-fail groups pass warning-free after the hard cutover","5;16","direct","critical","proven_complete"
"10","materialization","state declaration","physical observation to materialization state","materialization/source.rs; admission.rs","Opaque source identity retains bootstrap catalog B-tree publication B-tree lookup B-tree replay LSM publication LSM replay imported-blob or restored-artifact owner evidence","Every ordinary materialization source is constructed from lower-owner evidence and carries a read-only source-kind projection; LSM replay derives replacement identity from admitted membership","No family-plus-label or authority-plus-copied-replacement construction remains in production","materialization/source.rs","LayoutMaterializationObservation bound to exact admitted family and physical source identity","physical owner observation + admitted family -> source-bound materialization observation","Replace family-plus-class construction with adapters from WAL checkpoint root blob and bootstrap owners","Owner-specific constructors only; source identity and materialization fields are private; residue rejects scalar source assembly","B-tree LSM replay imported-blob and restore tests retain lower-owner source identity; raw epoch LSN and replacement request fields are absent","2;5","direct","critical","proven_complete"
