path,match_families,match_counts,responsibility,destination_owner,disposition,last_consumer,deletion_phase,absence_gate,status
crates/worth-store-recovery-runtime/src/progression/planned/basis/derivation/pending.rs,checkpoint-publication,checkpoint-publication=1,phase-four-pending-projection-admission,worth-store-recovery-runtime/progression/planned/basis/derivation,preserve,crates/worth-store-recovery-runtime/src/progression/planned/basis/derivation/pending.rs,preserve,tracked-family-source-and-metadata-reconciliation,inventory-open
crates/worth-store-recovery-runtime/tests/phase_five_cancellation.rs,acknowledgment-topology;checkpoint-publication;durability-vocabulary,acknowledgment-topology=2;checkpoint-publication=8;durability-vocabulary=3,phase-five-command-safe-point-cancellation-proof,worth-store-recovery-runtime/tests,preserve,crates/worth-store-recovery-runtime/tests/phase_five_cancellation.rs,preserve,tracked-family-source-and-metadata-reconciliation,inventory-open
crates/worth-store-physical-backend/src/filesystem_media/artifact_tree/durable_truncation.rs,durability-vocabulary,durability-vocabulary=1,confined-durable-artifact-truncation,worth-store-physical-backend/filesystem-media/artifact-tree,preserve,crates/worth-store-physical-backend/src/filesystem_media/artifact_tree/durable_truncation.rs,preserve,tracked-family-source-and-metadata-reconciliation,inventory-open
crates/worth-store-physical-backend/src/filesystem_media/tests/artifact_new_write.rs,durability-vocabulary,durability-vocabulary=1,artifact-write-and-truncation-backend-proof,worth-store-physical-backend/filesystem-media/tests,preserve,crates/worth-store-physical-backend/src/filesystem_media/tests/artifact_new_write.rs,preserve,tracked-family-source-and-metadata-reconciliation,inventory-open
crates/worth-store/src/physical_runtime/durability/wal/inventory/reopen/interrupted_active_tail.rs,wal-topology,wal-topology=11,typed-interrupted-active-wal-repair-admission,physical_runtime/durability/wal/inventory/reopen,preserve,crates/worth-store/src/physical_runtime/durability/wal/inventory/reopen/interrupted_active_tail.rs,preserve,tracked-family-source-and-metadata-reconciliation,inventory-open
crates/worth-store/tests/physical_record_journeys/durability_admission/wal_reopen/interrupted_tail.rs,durability-vocabulary;wal-topology,durability-vocabulary=8;wal-topology=10,interrupted-active-wal-tail-and-successor-positive-negative-proof,worth-store/physical-record-journeys/wal-reopen,preserve,crates/worth-store/tests/physical_record_journeys/durability_admission/wal_reopen/interrupted_tail.rs,preserve,tracked-family-source-and-metadata-reconciliation,inventory-open
crates/worth-store/src/bin/physical_store_work_courtroom/admission.rs,checkpoint-publication;durability-vocabulary;wal-topology,checkpoint-publication=4;durability-vocabulary=15;wal-topology=6,courtroom-durability-deployment-policy,physical_store_work_courtroom/admission,preserve,crates/worth-store/src/bin/physical_store_work_courtroom/admission.rs,preserve,tracked-family-source-and-metadata-reconciliation,inventory-open
crates/worth-store/src/bin/physical_store_work_courtroom/arguments.rs,acknowledgment-topology;durability-vocabulary;root-publication-topology;wal-topology,acknowledgment-topology=5;durability-vocabulary=17;root-publication-topology=6;wal-topology=6,physical-courtroom-command-vocabulary,physical_store_work_courtroom/arguments,preserve,crates/worth-store/src/bin/physical_store_work_courtroom/arguments.rs,preserve,tracked-family-source-and-metadata-reconciliation,inventory-open
crates/worth-store/src/bin/physical_store_work_courtroom/bounded_residency/cancellation/post_dispatch.rs,durability-vocabulary,durability-vocabulary=2,domain-durability-meaning,crate:worth-store,preserve,crates/worth-store/src/bin/physical_store_work_courtroom/bounded_residency/cancellation/post_dispatch.rs,preserve,tracked-family-source-and-metadata-reconciliation,inventory-open
crates/worth-store/src/bin/physical_store_work_courtroom/bounded_residency/cancellation/pre_dispatch.rs,durability-vocabulary,durability-vocabulary=2,domain-durability-meaning,crate:worth-store,preserve,crates/worth-store/src/bin/physical_store_work_courtroom/bounded_residency/cancellation/pre_dispatch.rs,preserve,tracked-family-source-and-metadata-reconciliation,inventory-open
