"id","layer","subsystem","architecture_edge","current_owner","current_code_surface","current_capability_or_data","current_failure_mode","target_owner","target_code_surface","target_capability","allowed_observers","forbidden_author","required_cutover","mechanical_proof","depends_on","phase34_scope","priority","status"
"1","shared grammar","proof vocabulary","authority issuance grammar","forge-proof","AuthorityWitness; TransitionOutcome","generic authority witness and outcome projection","Grammar exists but domain meaning and issuance locality are not guaranteed by the generic type alone","each permanent domain owner","owner-local private issuance module","owner-issued opaque capability projected through TransitionOutcome","callers; certification; diagnostics","siblings; certification; test support; projections","Use Forge Proof only inside an owner-local recipe; never create a Store-wide outcome factory","Compile-fail external and sibling issuance; source residue rejects generic owner factories","none","direct","critical","available_not_uniformly_adopted"
"2","shared grammar","Store authority","current Store scope to operation authority","forge-store-authority","StoreCurrentAuthorityWitness","current Store authority witness","A current Store witness can sit too close to operation construction and be mistaken for sufficient operation authority","each operation owner","owner admission facade","operation capability retaining exact Store authority lineage","read-only accessors and equality checks","any caller holding only StoreCurrentAuthorityWitness","Require owner-specific admission after Store authority; Store authority is necessary but never sufficient","Compile-fail Store witness plus copied fields cannot construct selected ready executed or published capability","1","direct","critical","partial"
"3","shared grammar","aspect-native basis","declaration and evidence representation","forge-foundational plus Store aspect-native adapters","canonical native values and projection surfaces","native declarations receipts diagnostics and projections","Some older surfaces still make copied values look close to authority even when JSON is absent","each semantic owner","owner admission and native evidence modules","native declaration admitted into private-field witness or capability","terminal projections; courtroom comparisons","deserializers; diagnostics; scalar digests","Keep deserialization and projections declaration-only; require readmission before authority","Residue checks reject serde-derived authority and scalar reconstruction lanes","1","supporting","high","partial"
"4","catalog input","artifact inventory","inventory row to family declaration","layout-indexes/artifact_family and catalog","artifact_family/inventory_rows; catalog/declaration.rs","PhysicalArtifactFamilyDeclaration","Inventory rows remain structurally adjacent to lifecycle authority and milestone-era catalog facades","artifact-family declaration owner","artifact_family/declaration.rs","permanent family declaration with no execution power","catalog queries; docs; certification inventory assertions","planning; execution; physical owners","Separate cold inventory lookup from executable family admission","Raw declaration cannot enter key-domain request planning or execution APIs","3","direct","high","partial"
"5","semantic admission","artifact family","family declaration to admitted lifecycle","layout-indexes/artifact_family plus legacy catalog","artifact_family/admission.rs; catalog/admission.rs; catalog/witness.rs","AdmittedPhysicalArtifactFamily retaining lifecycle authority and exact Store security identity; legacy intermediate witnesses remain","The ordinary Phase 34 chain is migrated but customization migration maintenance and catalog surfaces still consume the old intermediate lifecycle witness","artifact-family admission owner","artifact_family/admission.rs","AdmittedPhysicalArtifactFamily retaining declaration Store scope lifecycle and authority","planning views; strategy admission; diagnostics","catalog inventory; sibling adapters; test support","Migrate remaining consumers and make intermediate authority and lifecycle witnesses owner-private","Compile-fail admitted family construction; runtime cross-authority substitution denial; exact planning and scenario suites","2;4","direct","critical","ordinary_read_chain_proven_remaining_consumers_partial"
"6","semantic admission","key declaration","raw key-domain schema to law inputs","layout-indexes/keyspace","keyspace/declaration.rs; encoding.rs; comparator.rs; prefix.rs; range.rs","PhysicalKeyDomain plus individual law inputs","Strong laws exist but can be handled independently from the exact admitted family lineage","key-domain owner","key_domain/declaration.rs","key-domain declaration bound to family declaration but not executable","schema tooling; diagnostics","planning and execution","Move permanent declaration vocabulary under one key-domain facade","Raw declaration cannot enter request admission","4","direct","high","partial"
"7","semantic admission","key laws","encoding comparator prefix range collision laws","layout-indexes/keyspace/admission","keyspace/admission.rs plus low-level law modules","AdmittedPhysicalKeyDomain retaining admitted family security identity domain encoding comparator collision composite tenant and applicable prefix and range laws","Ordinary request selection fingerprint and readmission use the aggregate capability; raw law facades and remaining non-read consumers still exist","key-domain admission owner","key_domain/admission.rs","AdmittedPhysicalKeyDomain retaining family canonical encoding ordering range prefix collision and tenant laws","request admission; strategy invariant checks","raw law witnesses; copied PhysicalKeyDomainWitness","Migrate remaining consumers and make raw law construction private or projection-only","Exact applicable-law suite and cross-security runtime tests; private-field and raw-lane compile-fail tests","5;6","direct","critical","ordinary_read_chain_proven_remaining_consumers_partial"
"8","semantic admission","concrete key","application key to canonical physical identity","layout-indexes/keyspace","keyspace/value.rs; request_identity.rs","AdmittedConcretePhysicalKey to AdmittedPhysicalAccessIdentity using admitted-domain comparator","Canonical identity retains exact domain authority and no scalar projection; the cfg(test) scope-only identity remains","request identity owner","request/identity.rs","CanonicalPhysicalRequestIdentity issued from admitted key domain and concrete key","fingerprint projection; diagnostics","raw bytes; hashes; scope-only fixtures","Remove the scope-only synthetic identity after test support migrates to concrete admitted keys","Different canonical keys diverge; scalar projection absent; raw key lane inaccessible externally","7","direct","critical","production_domain_cutover_proven_synthetic_test_lane_remaining"
"9","semantic admission","access shape","raw access declaration to operation intent","layout-indexes/access/shape then access/intent.rs","AccessShapeContract ends at request admission; private-field AdmittedAccessIntent retains only operation detail lane posture stale policy counters mutation and budget semantics","Planning cost selection lowering readiness and readmission consume admitted intent; coverage is retrieved only from AdmittedLayoutMaterialization","Raw shape constructors still carry coverage during declaration validation and vocabulary remains milestone-prefixed","request owner plus shape vocabulary","access/intent.rs and permanent operation declarations","AdmittedAccessIntent exhaustive over permanent operation families","planning classifier; diagnostics","raw shape declaration; strategy registry","Remove coverage from raw declaration constructors after materialization completeness admission is consolidated and rename permanent vocabulary","Private-field UI proof; structural test rejects AccessShapeContract and access_shape accessors downstream of admission","5;7;11","direct","critical","admitted_intent_downstream_cutover_proven_raw_declaration_cleanup_partial"
"10","semantic admission","materialization declaration","coverage state to source evidence","layout-indexes/materialization","materialization/source.rs; coverage_basis.rs; coverage.rs; admission.rs","Opaque source identity distinguishes catalog root B-tree physical root and published LSM replacement; admitted basis and common-source coverage retain it","Ordinary lookup requests no longer accept coverage epoch or LSN; replay checkpoint and blob receipts remain","materialization owner","materialization/evidence.rs","MaterializationEvidenceSource retaining authoritative publication and coverage lineage","read planning; diagnostics; rebuild logic","planning; copied coverage rows; absence labels","Add lower-owner evidence adapters and make watermark a projection only","Private-field UI proofs for source basis and materialization; ordinary-owner residue gate; source retained through selected plans","5","direct","critical","btree_lsm_lower_source_proven_replay_checkpoint_blob_partial"
