subsystem_id,subsystem,search_seed,search_scope,current_owner,current_artifact,current_authority,classification,target_action,target_owner,weakened_output,lifecycle,denial,cost_contract,eventual_disposition,phase,manual_resolution,adjudication_status,implementation_status,completion_evidence
M310I-001,"Minimal host-output envelope","WorthUiHostOutputEnvelope","worth-ui-host-contract/src/runtime/host_output; worth-ui-runtime/src/facade/entry","worth-ui-host-contract","Lane payload plus digest-shaped generation and receipt reference","Inert transport value; runtime validates the generation before adapter handoff","replaced","Replace with one complete sealed multi-surface UiMountedFrameReceipt","worth-ui-host-contract/mounted_frame plus worth-ui-runtime/mounting","Diagnostic projections may quote labels or counts but cannot be presented or readmitted","One lane handoff today; one prepared-frame generation after cutover","Typed preparation or presentation denial replaces generic consumed/rejected disposition","Assembly scales with participating changed instances and compact batches rather than total authored or Query width","Delete the ordinary envelope route after mounted-frame host cutover","4;7","The current envelope is not a predecessor identity authority and cannot be refined in place because its lane-local cardinality is wrong","resolved","complete","Phase 4 assembles the replacement and Phase 7 removes every ordinary consumer"
M310I-002,"Digest-shaped host-output generation","WorthUiHostOutputGeneration::new","worth-ui-host-contract/src/runtime/host_output/generation.rs","worth-ui-host-contract","Four public u64 fields describing runtime application plan and allocation generation","Caller-constructible comparison input only; it carries no host session surface binding or frame-incarnation authority","replaced","Use owner-minted opaque application plan allocation host-session binding and frame basis references","worth-ui-host-contract/mounted_frame/identity plus worth-ui-runtime/mounting/identity","Printable inspection labels remain terminal only","Current value survives one envelope; successor identities follow their exact owners and lifecycles","Foreign stale and equal-looking bases deny before effects","O(1) exact owner validation per basis or carried exact reuse witness","Remove public digest-based generation construction from the ordinary host boundary","2;7","Equal integers from different runtimes sessions or lifecycles are explicitly non-equivalent","resolved","complete","Phase 2 introduces non-forgeable identities and Phase 7 deletes the displaced constructor route"
M310I-003,"Host-output receipt reference","WorthUiHostOutputReceiptReference","worth-ui-host-contract/src/runtime/host_output/envelope.rs","worth-ui-host-contract","Opaque-looking digest reference minted from the current envelope","Summary identity for one lane output; not presentation or publication evidence","replaced","Separate prepared-frame identity presentation evidence and publication evidence","worth-ui-host-contract/mounted_frame plus worth-ui-runtime/mounting/publication","Inspection may expose bounded labels with typed omission","One lane envelope today; distinct preparation presentation and publication lifecycles after cutover","A prepared frame cannot be represented as presented or published","O(1) identity/reference checks; no content rehash as authority","Delete after consumers use the three distinct successor facts","4;5;6;7","The current receipt reference must not be renamed into any stronger evidence class","resolved","complete","Phases 4 through 6 introduce distinct types and Phase 7 removes this reference"
M310I-004,"Lane payload projections","WorthUiOrdinaryHostOutput; WorthUiVirtualizedDataHostOutput; WorthUiCanvasSpatialHostOutput; WorthUiRealtimeOverlayHostOutput","worth-ui-host-contract/src/runtime/host_output","worth-ui-host-contract","Four sealed host-neutral summaries lowered from execution receipts","Mechanical lane contribution but currently independently presentable","refined","Retain useful sealed contribution data only behind mounted node surface and compact-table assembly","worth-ui-host-contract/mounted_frame/participation and compact_tables; worth-ui-runtime/mounting/frame_assembly","Lane summaries may remain diagnostic projections but cannot authorize presentation","One contribution within one prepared frame","Missing duplicate foreign or generation-mixed contributions deny frame preparation","O(changed lane contributions plus honest batch granule)","Remove lane payloads from the public adapter entry even if internal contribution types survive","3;4;7","All four lanes participate in one boundary migration; none remains an alternate adapter contract","resolved","complete","Phase 3 projects mechanical facts Phase 4 assembles them and Phase 7 closes public lane handoff"
M310I-005,"Lane-local active framework execution","execute_ordinary_frame; execute_virtualized_data_frame; execute_canvas_spatial_frame; execute_realtime_frame","worth-ui-runtime/src/facade/entry/active_framework_turn.rs","worth-ui-runtime","Each public call executes one lane lowers one envelope and immediately invokes the host adapter","Current ordinary control path and the primary competing presentation authority","replaced","Expose one execute_mounted_frame request whose admitted plan selects and assembles every lane and surface","worth-ui-runtime mounting/frame_assembly and public entry facade","Lane-specific execution may remain internal or certification-only without direct host effects","One independently presented lane today; one whole-frame attempt after cutover","Any incomplete or mixed generation candidate denies before effects","Initial work follows mounted closure; steady work follows changed instances and affected surfaces","Delete lane-specific public presentation after all supported lane behavior lands in mounted execution","4;7","Lane execution itself remains useful but lane-local presentation must disappear as part of the same cutover as preview paint and mounted indexes","resolved","complete","Phase 4 adds cross-lane assembly and Phase 7 leaves one ordinary public path"
M310I-006,"Active host-output handoff","consume_active_host_output","worth-ui-runtime/src/facade/entry/active_host_output_handoff.rs","worth-ui-runtime","Validates the public generation then calls WorthUiOperationalHostAdapter::consume_output","Current adapter admission point but validation is weaker than required affinity","replaced","Admit complete frame protocol session capability manifest and binding basis before effects","worth-ui-runtime/host_exchange/presentation_admission","Denied diagnostics may quote the failed basis but cannot be retried as authority","One synchronous lane handoff today; prepared pending presented rejected or indeterminate lifecycle later","Version capability session binding or frame mismatch returns typed pre-effect denial","O(required surfaces plus changed projection); no full declaration or Query scan","Delete after mounted presentation coordinator is the only ordinary handoff","5;7","The function cannot survive as a compatibility wrapper because it preserves the weaker envelope authority","resolved","complete","Phase 5 builds admission and Phase 7 deletes the wrapper"
M310I-007,"Operational host adapter contract","WorthUiOperationalHostAdapter::consume_output","worth-ui-host-contract/src/runtime/runtime_host_contract.rs","worth-ui-host-contract","Adapter consumes one lane envelope and returns Consumed or Rejected","Native-effect port with insufficient protocol surface and outcome taxonomy","replaced","Present one admitted mounted frame against a frozen surface-binding set with typed pending rejected presented and indeterminate outcomes","worth-ui-host-contract mounted_frame/presentation_outcome and protocol","Adapter-specific telemetry is observation only","Attempt spans preflight through completion or indeterminate reconciliation","Rejected-before-effects is distinct from effects-may-have-begun","O(required surfaces plus adapter translation output); bounded in-flight attempts","Replace trait method rather than add a parallel adapter trait","5;7","Host kind and capability concepts are retained but consume_output cannot express the milestone contract","resolved","complete","Phase 5 defines the contract and Phase 7 converts all implementations"
M310I-008,"Headless host adapter","WorthUiHeadlessHost","worth-ui-host-contract/src/runtime/headless_host.rs","worth-ui-host-contract","Returns Consumed without recording post-translation mechanics","Production adapter whose current behavior cannot independently prove translation","refined","Record a canonical mechanical transcript after mounted-frame translation","worth-ui-host-contract/headless/recorder","Transcript is evidence of record-only mechanics and never claims pixels or native effects","Bounded transcript per presented frame and binding generation","Unsupported protocol or malformed frame denies; bounded overflow is typed","O(translated mechanical entries) with named retention bound","Replace no-op consumption while retaining headless as a production adapter","5;7","Headless remains in the existing crate and must not become a test-only echo host","resolved","complete","Phase 5 introduces transcript semantics and Phase 7 cuts it onto the mounted contract"
M310I-009,"Egui host adapter","WorthUiEguiHost","worth-ui-host-egui/src/adapter/egui_host.rs","worth-ui-host-egui","Renders a debug-like label derived from the lane envelope","Real adapter boundary but not a faithful mounted mechanical translation","refined","Translate mounted paint clip layer order accessibility and participation facts into real egui output","worth-ui-host-egui/mounted_translation plus adapter and frame_runner","Egui observations are post-translation evidence and cannot authorize runtime publication","One admitted multi-surface frame attempt","Unsupported protocol capability or binding denies before effects; lost completion becomes indeterminate","O(actual translated shapes and affected surfaces)","Replace envelope label rendering; retain egui as the real native-mechanics adapter","5;7","A non-empty egui frame is insufficient; shape clip order and accessibility consequences must be observable","resolved","complete","Phase 5 defines translation requirements and Phase 7 removes the debug-envelope route"
M310I-010,"Graph-mounted receipt identity","UiMountedReceiptIdentity","worth-ui-runtime/src/graph/mounted_receipt/mounted_receipt_identity.rs","worth-ui-runtime graph","One graph-node-derived identity shaped as one mounted receipt per graph node","Graph-local mounted slot authority with incorrect zero-to-many and remount semantics","replaced","Split semantic graph identity repeated-instance basis mounted-instance identity mount incarnation and frame-scoped node receipt identity","worth-ui-runtime/mounting/identity and indexes; inert identity values in worth-ui-host-contract","Graph identity remains available as an opaque basis but is not mounted identity","Stable instance survives reorder; unmount ends incarnation; each frame creates a receipt identity","Foreign world stale incarnation or frame denies without index mutation","O(1) identity checks and O(changed instances) index maintenance","Remove one-node/one-receipt assumptions after zero-to-many indexes are current","2","The graph owner retains semantic node and repeated basis; mounting owns incarnation surface and frame binding","resolved","complete","Runtime mounting now owns bounded zero-to-many instance incarnation surface and frame identity; the predecessor graph type is narrowed and renamed to non-mounted UiGraphMountEligibility"
