"delta_id","wave","sequence","domain","change_type","current_file","current_symbol","current_responsibility","current_inputs","current_outputs","architectural_defect","target_file","target_symbol","target_responsibility","target_inputs","target_outputs","required_invariants","depends_on","unblocks","callers_to_migrate","symbols_to_delete","tests_to_migrate","new_proofs_required","mechanical_completion_check","compile_or_test_gate","risk","status","planning_notes","source_evidence"
"P10-B001","-1-boundary-closure","-100","authority inventory","inventory","workspace-wide Phase 10 path","all constructors|publishers|preparers|committers|reconstructors","Enumerate every surface capable of minting; transferring; reconstructing; or publishing committed allocation authority.","Current source tree","Versioned dirty-edge ledger with exact symbol and caller counts","Without a complete inventory later work can leave an unknown competing authority alive.","_docs/worth-ui/phase-10-architecture-gap.csv|boundary guard manifest","Phase 10 authority edge inventory","Establish authoritative source-to-sink inventory before refactoring.","rg symbol families|module exports|call graph|test/cert seams","Exact dirty-edge rows and baseline counts","Inventory includes production; substrate; adapters; evidence; diagnostics; certification; and tests; absence is proven mechanically.","","P10-B002|P10-B007|P10-B008|P10-B009","all Phase 10 planning rows","","","Inventory count regression tests","Every authority-capable symbol has one classified row: canonical|temporary migration|forbidden|read-only evidence","Inventory query returns no unclassified authority-capable match","rg-based inventory audit","complete","not_started","Current baseline includes 2 attempt constructors; 6 lower attempt-publisher refs; 8 lower swap-publisher refs; 26 movable preparation refs; 49 ready fixture refs; and 10 frame replacement installer refs.|verified 2026-07-12: exact 24-rule boundary manifest; 5 hostile guard self-tests; zero forbidden legacy publisher, readiness, checkpoint, atomic-swap, and reconstruction symbols"
"P10-B002","-1-boundary-closure","-90","canonical boundary contract","define","runtime allocation activation family","implicit ownership across ledger|invalidation|frame gate|swap","Assign roles but not one mechanically exclusive authority chain.","P10-B001 inventory","Canonical owner/role matrix","Without an explicit role contract multiple modules can each appear entitled to authorize publication.","runtime/activation/committed_allocation_attempt","canonical authority contract","Name the only mint; prepare; commit; evidence; and projection owners.","Inventory rows|Phase 10 semantic law","Owner matrix and forbidden-role matrix","Ledger alone mints attempt; attempt alone prepares; prepared value alone commits; receipt/denial alone project evidence; all other substrate is input or successor builder.","P10-B001","P10-B003|P10-B004|P10-B005|P10-B006|P10-B007|P10-B008|P10-B009","all substrate and refactor deltas","","","boundary contract tests","Every current symbol maps to exactly one role and no role has two owners","Owner matrix has one owner per authority role","architecture boundary review","complete","not_started","This is the decision lock for the entire refactor.|verified 2026-07-12: exact 24-rule boundary manifest; 5 hostile guard self-tests; zero forbidden legacy publisher, readiness, checkpoint, atomic-swap, and reconstruction symbols"
"P10-B003","-1-boundary-closure","-80","minting boundary","freeze_and_guard","runtime/allocation_receipt/receipt_ledger.rs|runtime/launch/planning_transition.rs","UiCommittedAllocationActivationAttempt::new|seal_activation_catalog","Mint attempt at two receipt-ledger branches.","Committed catalog and ledger state","Move-only activation attempt","Two legitimate code branches may share one owner; any other constructor or remint route would create competing authority.","scripts/ci/check_worth_ui_phase_10_authority_boundaries.sh|receipt ledger","attempt mint allowlist","Freeze minting to the receipt ledger while structural sealing is repaired.","P10-B002 owner contract|current 2 constructor sites","Guarded mint sites","Historical receipts; inspection rows; tests; adapters; and diagnostics cannot mint or remint activation capability.","P10-B002","P10-B010","receipt sealing refactor","any attempt constructor outside approved receipt-ledger owner","receipt ledger tests|compile-fail tests","Attempt construction outside owner fails CI or visibility checks","Exactly approved mint sites; target closeout collapses to canonical constructor path","boundary guard|cargo check -p worth-ui-runtime","critical","complete","Allowlist may temporarily contain both ledger branches but must not grow.","receipt_ledger.rs:82 and 191|verified 2026-07-12: exact 24-rule boundary manifest; 5 hostile guard self-tests; zero forbidden legacy publisher, readiness, checkpoint, atomic-swap, and reconstruction symbols"
"P10-B004","-1-boundary-closure","-70","export boundary","freeze_and_restrict","runtime/invalidation_narrowing/mod.rs|frame_activation_gate/mod.rs|atomic_plan_swap/mod.rs|runtime exports","pub|pub(crate) re-exports of attempt; preparation; gate; rollback; receipt parts; scroll evidence","Expose authority-bearing stage types across module boundaries.","Current module tree","Export classification and freeze guard","Crate visibility is enough to create sibling authorities across runtime modules and tests.","scripts/ci/check_worth_ui_phase_10_authority_boundaries.sh|target module exports","authority export allowlist","Prevent new exports and progressively reduce existing authority-bearing exports.","P10-B002 owner contract|all pub/pub(crate) rows","Classified export ledger","Only public receipt/denial/inspection projections escape; attempt/prepared internals stay within canonical family; substrate exports are read-only or builders.","P10-B002","P10-B010","module migration rows","new authority-bearing re-exports|old attempt/preparation/gate/transaction exports after migration","visibility tests|compile-fail tests","Unapproved import paths fail; export count never increases","Export audit equals allowlist and closeout allowlist contains no sibling publisher type","boundary guard|cargo check -p worth-ui-runtime","critical","complete","Freeze before moving types so refactor cannot accidentally widen visibility.","current mod.rs export audit|verified 2026-07-12: exact 24-rule boundary manifest; 5 hostile guard self-tests; zero forbidden legacy publisher, readiness, checkpoint, atomic-swap, and reconstruction symbols"
"P10-B005","-1-boundary-closure","-60","caller and publisher boundary","freeze_and_guard","runtime/activation/gate.rs|runtime/activation/swap.rs|certification_support|runtime tests","publish_committed_allocation_attempt|publish_committed_allocation|direct prepare/gate/swap callers","Publish through ordinary facade and multiple lower entry points.","Current call graph","Publisher/caller dirty-edge ledger","Lower callers can preserve split authority even after a canonical path is introduced.","scripts/ci/check_worth_ui_phase_10_authority_boundaries.sh","publication entry allowlist","Freeze caller set and require every migration to remove an edge.","P10-B002 owner contract|current call sites","Versioned caller graph","No new lower caller; ordinary facade becomes sole production/certification/test publication path; temporary exceptions are named and monotonically removed.","P10-B002","P10-B010","facade|certification|test migration|deletion waves","new lower publisher caller|direct swap caller after replacement","caller migration tests|anti-bypass tests","Each migration delta decrements an exact baseline count","Guard fails on added caller and closeout reports zero lower callers","boundary guard|rg caller audit","critical","complete","Baseline: 6 attempt-publisher refs and 8 lower swap-publisher refs.","current rg audit|verified 2026-07-12: exact 24-rule boundary manifest; 5 hostile guard self-tests; zero forbidden legacy publisher, readiness, checkpoint, atomic-swap, and reconstruction symbols"
"P10-B006","-1-boundary-closure","-50","mutation boundary","inventory_and_freeze","runtime/atomic_plan_swap|runtime/activation/swap.rs|allocation_frame_dispatch|receipt ledger|invalidation authority|durable state","all writes to graph|ledger|active|frame replacement|durable resize|projection generation","Mutate live state across commit and compensating rollback paths.","Prepared and partial stage values","Live runtime mutations","An untracked write site can become an alternate commit authority or violate rollback invariance.","scripts/ci/check_worth_ui_phase_10_authority_boundaries.sh|target commit.rs","live mutation allowlist","Enumerate and freeze every write before atomicity repair.","P10-B002 owner contract|write-site search","Mutation ledger by state family","Preparation performs zero live writes; commit_once is sole multi-family publisher; projection ledger may mutate only projection generation after capability validation.","P10-B002","P10-B010","frame replacement|runtime successor|commit|rollback deltas","new Phase 10 live write outside approved owner","fault injection tests|state snapshot tests","Every state family has one approved writer and precommit snapshot equality proof","Mutation-site audit matches allowlist; closeout leaves commit_once plus isolated projection writer","boundary guard|fault injection suite","critical","complete","Baseline includes 10 frame replacement installer refs; most are compensating rollback writes.","current mutation rg audit|verified 2026-07-12: exact 24-rule boundary manifest; 5 hostile guard self-tests; zero forbidden legacy publisher, readiness, checkpoint, atomic-swap, and reconstruction symbols"
"P10-B007","-1-boundary-closure","-40","duplicate authority state","inventory_and_classify","receipt bindings|active_set identity|ready preparation|gate receipt|swap receipt|scroll catalog evidence","parallel copies of committed replan; ledger transition; catalog transition; identities; receipts; contexts","Carry overlapping truth across stages.","Stage outputs","Duplicate-state ledger","Copies can drift and become independently trusted even when no explicit publisher method exists.","_docs/worth-ui/phase-10-architecture-gap.csv|boundary guard manifest","duplicate authority classification","Classify each duplicate as canonical owned state; derived projection; temporary migration residue; or forbidden authority.","P10-B001 inventory|P10-B002 contract","Duplicate-state rows with deletion/derivation target","Canonical structural value has one owner; projections are derived and cannot authorize; no sibling mutable copy.","P10-B001|P10-B002","P10-B010","identity|attempt|prepared transaction|evidence deltas","unclassified duplicate authority|cloned admission context as publication proof","collision tests|state parity tests","Changing any sibling independently is impossible or test-detected","No unclassified duplicate; every retained duplicate is read-only derived projection","structural equality audit|compile tests","critical","complete","This catches competing authority hidden as fields rather than APIs.","active_set.rs|ready_activation.rs|plan_swap_receipt.rs|verified 2026-07-12: exact 24-rule boundary manifest; 5 hostile guard self-tests; zero forbidden legacy publisher, readiness, checkpoint, atomic-swap, and reconstruction symbols"
"P10-B008","-1-boundary-closure","-30","cross-boundary reconstruction","inventory_and_forbid","host|Query|graph|receipt|scroll evidence|diagnostics adapters","digest/string/row reconstruction of targets; identities; contexts; receipts; denials","Translate substrate data across domain boundaries.","Host/Query observations|graph rows|receipt rows|digests","Reconstructed runtime artifacts or projections","Adapters can quietly remint authority from descriptive data even after constructors are closed.","scripts/ci/check_worth_ui_phase_10_authority_boundaries.sh|substrate owner modules","reconstruction edge ledger","Distinguish lawful sealed builder calls from forbidden authority reconstruction.","P10-B001 inventory|P10-B002 role matrix","Classified crossing edges","Host and Query provide evidence; graph selects; ledger seals; transaction composes; diagnostics project; none reconstruct another owner's authority.","P10-B001|P10-B002","P10-B010","substrate audit|identity|inspection deltas","raw row/digest/string to authority conversion outside owning builder","collision tests|adapter denial tests|inspection tests","Every cross-domain conversion consumes a typed sealed artifact or returns denial","No unclassified reconstruction pattern and no diagnostic path authorizes runtime work","boundary guard|targeted adapter tests","critical","complete","This is where dirty substrate edges become competing authorities without obvious publisher names.","substrate audit across host|Query|graph|receipt|diagnostics|verified 2026-07-12: exact 24-rule boundary manifest; 5 hostile guard self-tests; zero forbidden legacy publisher, readiness, checkpoint, atomic-swap, and reconstruction symbols"
"P10-B009","-1-boundary-closure","-20","test and certification boundary","inventory_and_quarantine","runtime/tests|certification_support|host_observation/certification","ReadyFixture|ready_activation_fixture|prepare_committed_allocation_for_test|direct lower publishers","Construct intermediate authority unavailable to desired ordinary path.","Synthetic partial inputs","Gate/swap/rollback outcomes","Tests and certification can keep forbidden APIs alive and falsely certify the wrong architecture.","scripts/ci/check_worth_ui_phase_10_authority_boundaries.sh|ordinary test support","test seam allowlist","Freeze fixture set; require migration plan; prohibit new synthetic authority fixtures.","P10-B002 role matrix|current fixture call graph","Versioned seam ledger","Tests may create ordinary admitted inputs or select a closed precommit checkpoint; they cannot mint attempt/preparation/swap authority.","P10-B001|P10-B002","P10-B010","test topology|certification migration|deletion deltas","new ReadyFixture|new direct prepare/gate/swap helper","anti-bypass test|ordinary facade scenario parity","Every current synthetic scenario maps to an ordinary or closed-checkpoint replacement row","Fixture count never grows; closeout has zero ready fixture references","boundary guard|cargo test -p worth-ui-runtime --lib","critical","complete","Baseline includes 7 test preparation refs and 49 ready fixture refs.","current rg audit|verified 2026-07-12: exact 24-rule boundary manifest; 5 hostile guard self-tests; zero forbidden legacy publisher, readiness, checkpoint, atomic-swap, and reconstruction symbols"
"P10-B010","-1-boundary-closure","-10","boundary freeze gate","create","no existing complete guard","Phase 10 dirty-edge closeout gate","Prevent growth and certify boundary classification.","P10-B003 through P10-B009 ledgers","CI pass/fail","Without an enforced freeze the long refactor can accumulate new competing edges faster than it removes old ones.","scripts/ci/check_worth_ui_phase_10_authority_boundaries.sh","phase_10_authority_boundary_guard","Enforce exact approved edges; monotonic deletion; and zero unclassified authority.","Mint|export|caller|mutation|duplicate|reconstruction|test ledgers","Guard report with counts and violations","Runs before substrate/refactor work; additions require explicit canonical classification; closeout target is zero forbidden edges.","P10-B003|P10-B004|P10-B005|P10-B006|P10-B007|P10-B008|P10-B009","P10-S001|P10-S002|P10-S003|P10-S004|P10-S005|P10-S006|P10-S007|P10-S008|P10-D002","every later delta","guard bypass|unclassified exception|count-only check without symbol identity","guard tests","Known baseline passes; injected new constructor/export/caller/write/fixture fails","Guard is wired into relevant CI and emits exact offending symbols","guard self-tests|workspace CI check","critical","complete","This is the first implementation deliverable, not just planning documentation.","boundary ledgers from P10-B001-P10-B009|verified 2026-07-12: exact 24-rule boundary manifest; 5 hostile guard self-tests; zero forbidden legacy publisher, readiness, checkpoint, atomic-swap, and reconstruction symbols"
