"id","domain","operation_edge","current_owner","current_surface","current_authority_shape","current_gap","target_owner","target_surface","target_authority_shape","required_change","proof_gate","depends_on","priority","status"
"1","proof substrate","owner issuance grammar","forge-proof","AuthorityWitness; TransitionOutcome","shared vocabulary for authority and result projections","Available but applied inconsistently across operation owners","forge-proof plus each operation owner","owner-local recipe and issued capability","Forge Proof supplies grammar; the domain owner supplies meaning and issuance","Use existing AuthorityWitness and TransitionOutcome in owner-local recipes without creating a Store-wide authority factory","Compile-fail: callers cannot issue witnesses or promote projections","none","critical","available"
"2","artifact family","declaration to lifecycle admission","layout-indexes/artifact_family plus legacy catalog admission","AdmittedPhysicalArtifactFamily retains lifecycle authority and exact Store security identity","all six ordinary read replay publication and compaction planning paths carry the opaque admitted family through selected operation fingerprints and stale readmission; legacy non-read catalog APIs remain","The Phase 34 path is Store-bound but old ArtifactFamilyLifecycleAdmission and ArtifactFamilyAuthorityWitness remain reachable for customization migration maintenance and catalog tests","layout-indexes/artifact_family","admit declaration with current security authority; carry admitted family","one opaque lifecycle capability retained through request selection execution and readmission","Migrate remaining consumers then make intermediate catalog authority private to artifact-family admission","Runtime rejects same-family cross-authority substitution; compile-fail admitted family fields are private; planning lib scenarios and runtime UI pass","1","high","ordinary_read_chain_proven_remaining_consumers_partial"
"3","key domain","family to admitted domain","layout-indexes/keyspace/admission","AdmittedPhysicalKeyDomain plus AdmittedConcretePhysicalKey","owner-issued capability retains admitted family security identity raw domain canonical encoding comparator collision law composite ordering tenant partition and domain-applicable prefix and range laws","The six ordinary operations request identity selected plans fingerprints and readmission use the admitted domain; legacy law facades and non-read strategy/customization paths still expose raw witnesses","layout-indexes/keyspace","admit domain for admitted family","opaque domain capability containing family lineage and ordering encoding laws","Migrate remaining consumers then make raw domain and individual law issuance owner-private or projection-only","Runtime exact law-suite and cross-security tests; compile-fail admitted domain fields and raw request lane; 118 library tests plus B-tree LSM and replay courtroom suites pass","2","high","ordinary_read_domain_capability_proven_remaining_consumers_partial"
"4","request identity","raw key to canonical physical request","layout-indexes/planning/access_request plus keyspace/request_identity plus access/intent","AdmittedPhysicalAccessRequest binds Store-bound admitted family admitted key domain canonical identity coverage-free AdmittedAccessIntent and source-bound admitted catalog materialization before selection","Raw AccessShapeContract ends at request admission; all six operations carry admitted intent; read and replay operations retain AdmittedLayoutMaterialization while mutation operations explicitly carry no read materialization; selected plans and fingerprints retain both capabilities","Broad request still uses Option to combine read and mutation families; raw shape constructors still accept coverage; scope-only synthetic selector remains","layout-indexes/request","admit physical access request","separate opaque read and mutation request capabilities binding family domain canonical key intent and applicable materialization basis","Split read and mutation requests remove coverage from raw shape declarations after completeness consolidation and delete the scope-only selector","Structural test rejects raw shape downstream; runtime hostile coverage substitution and private-field UI tests for request materialization and intent; full library and scenario suites pass","2;3;7","critical","intent_materialization_separation_proven_request_split_partial"
"5","request identity","authoritative request to diagnostic binding","layout-indexes/keyspace/request_identity","AdmittedPhysicalAccessIdentity with no scalar authority projection","exact canonical identity is carried directly by selected and executed capabilities","The unused binding_words projection has been removed; no scalar projection remains adjacent to authority APIs","layout-indexes/request/identity","exact admitted request identity only","authority APIs retain the opaque exact identity; diagnostics may compare read-only canonical bytes but cannot reconstruct authority","Keep scalar binding projections absent and carry the admitted identity unchanged","Compile-fail request_identity_has_no_scalar_authority_projection plus focused request_identity tests pass","4","critical","scalar_projection_removed_identity_authority_proven"
"6","access intent","shape declaration to admitted operation intent","layout-indexes/planning/access_request plus access/shape plus strategy/registry","AdmittedPhysicalAccessRequest retains AccessShapeContract only after family materialization and operation-lane admission","The family service-lane versus operation-lane matrix is enforced before candidate classification and reused by registry admission; production selection accepts only the admitted request","AccessShapeContract remains broad and the scope-only synthetic selector still bypasses exact request identity under cfg(test)","layout-indexes/request","classify and admit intent","exhaustive operation intent capability bound to admitted request and compatible family service lane","Keep raw shape construction inside owner facades and remove scope-only synthetic selection under row 52","Runtime proves hot-path families admit maintenance while maintenance/readmission families cannot enter foreground strategy admission; raw external selection and admitted-request construction compile-fail","4","critical","operation_intent_request_boundary_proven_synthetic_test_lane_tracked_row52"
"7","materialization","coverage evidence to admitted materialization","layout-indexes/materialization/admission","materialization/source.rs; coverage_basis.rs; coverage.rs; admission.rs","Ordinary B-tree and LSM lookups derive admitted basis from exact physical root or published replacement identity and retain current materialization through execution","Replay checkpoint blob receipts current frontier completeness and absence remain; full non-Copy durability receipt retention remains","layout-indexes/materialization","admit materialization basis","opaque capability retaining source coverage freshness completeness publication lineage and absence eligibility","Add lower-owner source variants then remove shape-carried coverage and make readiness/readmission consume the capability directly","Request API has no coverage epoch or LSN; B-tree and LSM courtroom tests prove retained source kind; private-field UI passes","2;4","high","lookup_lower_source_proven_replay_and_posture_partial"
"8","strategy","family declaration to invariant-bound strategy","layout-indexes/strategy","S8AdmittedLayoutStrategy retains private StrategyAuthorityBasis and B-tree/LSM invariant suites","Planning maintenance rebuild customization and extension consumers admit strategy only from AdmittedPhysicalArtifactFamily plus AdmittedPhysicalKeyDomain; selected indexed operations and fingerprints retain the exact strategy","Bare family vocabulary and milestone naming remain; family-specific admitted strategy types are not split","layout-indexes/strategy","admit strategy for request and materialization","opaque family-specific strategy capability retaining admitted family domain and invariant suite","Narrow bare family vocabulary to declaration/diagnostics and adopt permanent family-specific names where useful","Structural residue rejects LegacyWitnesses raw admission wrappers lifecycle/domain projections and raw registry constructors; layout extension scenario and UI suites pass","3;6;7","high","admitted_strategy_authority_cutover_proven_naming_partial"
"9","planning","admitted inputs to candidate set","layout-indexes/planning","planning/access_request.rs; alternative.rs; selection_decision.rs; selection_issuance.rs","one candidate derivation and one private exhaustive operation decision consumed mechanically by issuance","The parallel access/planning tree and downstream family/shape reclassification are removed; candidate derivation still consumes registry snapshots instead of the target consolidated admitted-strategy capability","layout-indexes/planning","candidate classification","private candidate cases derived only from admitted request materialization strategy and budget facts","Preserve the single classifier and mechanical issuer while migrating candidate inputs to consolidated admitted strategy and materialization capabilities","Planning structural gate proves one candidate derivation one classifier and no issuance-side family shape or is_* predicates; deterministic tests scenarios and runtime compile-fail pass","4;6;7;8","critical","single_classifier_topology_proven_strategy_lineage_partial"
"10","planning","candidate set to selected B-tree lookup","layout-indexes/planning","SelectedBTreeLookup","private exact operation capability","Exact split exists but milestone vocabulary and shared reconstruction bridge remain","layout-indexes/planning","SelectedBTreeLookup renamed permanently","opaque selected lookup carrying complete admitted lineage","Keep exact issuance; delete shared-plan reconstruction and rename milestone types","Compile-fail siblings and generic plans cannot enter lookup lowering","9","critical","mostly_sound"
