id,public_surface,semantic_kind,granting_owner,invalidation_owner,effects_before_verification,current_consumers,final_disposition,proof_obligation,status
M310AE-001,UiSemanticSurfaceIdentity::mint_unbound,inert identity,runtime mounted identity owner,runtime mounted identity owner,no,mounted identity and hostile controls,retain as inert value; matching never grants liveness,raw identity cannot open admitted binding or publication,resolved
M310AE-002,UiHostSurfaceIdentity::mint_unbound,inert identity,runtime surface candidate owner,host-truth coordinator,no,surface registration and report basis,restrict ordinary minting to runtime-owned candidate path,foreign equal-looking identity cannot validate a receipt,resolved
M310AE-003,UiSurfaceBindingGeneration::mint_unbound,inert identity,runtime surface candidate owner,host-truth coordinator,no,binding admission and observations,restrict ordinary minting to runtime-owned candidate path,raw generation cannot establish a live binding,resolved
M310AE-004,UiMountedFrameIdentity::mint_unbound,inert identity,runtime frame lifecycle owner,mounted publication owner,no,assembly and presentation,retain only behind sealed prepared-frame construction,raw frame identity cannot publish or present,resolved
M310AE-005,UiMountedPresentationAttemptIdentity::mint_unbound,inert identity,presentation coordinator,host-truth coordinator,no,presentation admission,keep internal to reserved attempt lifecycle,raw attempt cannot open adapter effects,resolved
M310AE-006,UiHostPresentationCompletionToken::mint_unbound,authority,presentation lease gate,terminal completion or cancellation,no,adapters and presentation settlement,delete public raw mint; replace with move-only gate-issued token,compile fail mint and clone; real pending returns token,resolved
M310AE-007,UiMountedPresentationAuthority::mint_for_runtime,authority,currently runtime; incorrectly,adapter presentation gate,not_applicable,active host session,delete; adapter issues one non-cloneable active-session lease,compile fail mint and second live lease; active-session twin passes,resolved
M310AE-008,UiMountedPresentationAuthority::bind,authority projection,currently public authority value,lease release,no,runtime consumption view,replace with lease-borrowed crate-controlled view opening,compile fail raw view construction,resolved
M310AE-009,UiMountedPresentationAuthorityGate::bind,authority grant,adapter gate,adapter gate,no,adapter implementations,replace with single-live-lease claim,second concurrent claim denied; released claim can be reacquired,resolved
M310AE-010,WorthUiOperationalHostAdapter::bind_mounted_presentation_authority,authority grant,adapter implementation,adapter implementation,no,all active sessions,replace with required claim API or explicit deny-only implementation,no permissive default; real adapters own seals,resolved
M310AE-011,WorthUiOperationalHostAdapter::present_mounted_surface,effect result,adapter,host-truth coordinator,yes,presentation coordinator,retain behind lease-borrowed view and classify four-way outcome,blocked host truth denies before another adapter effect,resolved
M310AE-012,WorthUiOperationalHostAdapter::complete_mounted_surface,effect result,adapter,host-truth coordinator,yes,presentation settlement,Pending returns move-only token; terminal outcome consumes it,compile fail token clone and runtime double-poll,resolved
M310AE-013,WorthUiOperationalHostAdapter::cancel_mounted_surface,effect result,adapter,host-truth coordinator,yes,presentation shutdown,retain move-only token consumption; effects-may-have-begun blocks truth,cancel-before-effects leaves known truth unchanged,resolved
M310AE-014,UiHostSurfaceRegistrationRequest::from_runtime,raw boundary input,runtime identity candidate owner,host-truth coordinator,no,registration adapters,retain crate-owned request preparation only,request equality cannot prove applied registration,resolved
M310AE-015,UiHostSurfaceRegistrationRequest::confirm_known_empty,effect result,currently any request holder; incorrectly,host-truth coordinator,yes,adapters,replace with adapter outcome receipt verified by reserved attempt,wrong receipt after real native insertion becomes indeterminate,resolved
M310AE-016,WorthUiOperationalHostAdapter::register_surface,effect result,adapter,host-truth coordinator,yes,mounted identity lifecycle,replace binary Result with rejected/applied/indeterminate outcome,native insert plus wrong receipt blocks exact attempt,resolved
M310AE-017,UiHostSurfaceDeregistrationReceipt::from_runtime,effect result,currently public hidden constructor; incorrectly,host-truth coordinator,yes,adapters,replace with receipt derived inside adapter outcome vocabulary,wrong receipt cannot preserve ordinary-live posture,resolved
M310AE-018,WorthUiOperationalHostAdapter::deregister_surface,effect result,adapter,host-truth coordinator,yes,mounted identity lifecycle,replace binary Result with rejected/applied/indeterminate outcome,native removal plus wrong receipt blocks reports and presentation,resolved
M310AE-019,UiMountedSurfacePresentationCompletion::new,effect result,adapter,host-truth coordinator,yes,presentation settlement,retain inert completion value; validity requires exact reserved attempt and lease,completion assembled from raw mode/effects cannot publish,resolved
M310AE-020,UiMountedPresentationWitness,authority,runtime presentation coordinator,mounted publication owner,no,publication,retain concrete proof minted only after all required surface completions,partial or blocked surfaces cannot mint witness,resolved
M310AE-021,UiAllocationTruthRevision,authority dependency,allocation receipt ledger,allocation receipt ledger,no,measurement lifecycle,reuse in owner-issued private dependency basis,real allocation commit invalidates dependent request,resolved
M310AE-022,UiHostMeasurementBasis::new,authority,currently caller; incorrectly,measurement lifecycle,no,measurement facade,delete public basis input and replace with owner-issued dependency snapshot,compile fail caller-authored basis; positive real lifecycle passes,resolved
M310AE-023,UiHostMeasurementRequestIdentity constructor,authority,measurement lifecycle,measurement lifecycle,no,measurement completion,remove from valid facade input; lifecycle issues identity,foreign observation does not consume pending request,resolved
M310AE-024,host measurement assumption profile raw constructors,raw boundary input,adapter environment admission owner,active host session,no,host measurement admission,remove duplicate caller-constructed admitted path; admit typed adapter report,real font/environment generation drift invalidates request,resolved
M310AE-025,UiHostObservationSchemaVersion::new,raw boundary input,protocol contract owner,protocol negotiation,no,report validator,bump current observation schema and reject prior insufficient provenance,old schema rejected before retention,resolved
M310AE-026,UiHostObservationLoss::Coalesced,raw boundary input,adapter report source,sequence coverage validator,no,observation validation,require exact survivor identity and replaced interval,wrong survivor or undeclared hole rejects,resolved
M310AE-027,UiHostObservationLoss::Overflow,raw boundary input,adapter report source,sequence coverage validator,no,observation validation,retain distinct overflow disposition and reject lossless families,overflow never retained as Coalesced,resolved
M310AE-028,UiValidatedHostObservationBatch,authority-like sealed evidence,staged observation validator,retention owner,no,future semantic intake,construct only after structural coverage basis and retention seals,retention cannot accept structural-only raw batch,resolved
