"id","subsystem","stage","current_owner","current_surface","current_state","target_owner","target_surface","required_change","mechanical_gate","order","severity","status"
"1","Artifact family","Declaration","layout-indexes/catalog","PhysicalArtifactFamilyDeclaration; ArtifactFamilyLifecycleAdmission","Canonical declarations exist but can still be treated as operational truth.","layout-indexes/artifact_family/admission","AdmittedPhysicalArtifactFamily","Require owner admission before key-domain or strategy admission; declarations remain input only.","Copied declaration cannot enter key admission; operation APIs reject raw declarations.","1","critical","partial"
"2","Artifact family","Authority","layout-indexes/catalog","ArtifactFamilyAuthorityWitness","Authority vocabulary exists but is not carried consistently through selection and execution.","layout-indexes/artifact_family/admission","AdmittedPhysicalArtifactFamily retaining exact authority","Bind authority witness and store scope into the admitted family and preserve it through later capabilities.","Selected operations cannot exist without admitted family authority.","2","critical","missing_chain"
"3","Key domain","Law admission","layout-indexes/keyspace","PhysicalKeyDomainWitness and law witnesses","Strong encoding and ordering laws exist; some paths carry only a domain witness or infer admission.","layout-indexes/keyspace/admission","AdmittedPhysicalKeyDomain","Bind family, scope, encoding, comparator, prefix, range, and operation support in one owner-issued capability.","Raw domain witnesses cannot enter request admission; family/domain mismatch is typed.","3","critical","partial"
"4","Concrete request","Admission","layout-indexes/keyspace/request_identity","AdmittedPhysicalAccessIdentity","Identity preserves domain, byte length, and canonical bytes but is issued inside selection.","layout-indexes/request/admission","AdmittedPhysicalAccessRequest","Admit concrete request before selection and bind family, key domain, scope, shape, and exact canonical key.","Raw keys cannot enter selection; trailing-zero and cross-domain substitutions fail.","4","critical","partial"
"5","Concrete request","Identity projection","layout-indexes/keyspace/request_identity","binding_words [u64;8]","Structured identity is sound but binding_words erases domain and length if promoted to authority.","layout-indexes/request/identity","CanonicalPhysicalRequestIdentity","Keep hashes or words as diagnostic/fingerprint projections only; never reconstruct authority from them.","Residue scan confines binding_words to projection; collision matrix passes.","5","critical","active_repair"
"6","Access shape","Intent admission","layout-indexes/access/shape","AccessShapeContract; AccessShape","Rich vocabulary exists; consumers import broad projections directly.","layout-indexes/request/admission","AdmittedAccessIntent inside admitted request","Admit shape against family, key domain, exactness, lifecycle, mutation, and materialization posture.","Raw shape cannot enter planning; unsupported-shape matrix is exhaustive.","6","high","partial"
"7","Materialization","Coverage admission","layout-indexes/materialization","LayoutMaterializationState and coverage witnesses","Strong witnesses exist but the complete canonical chain is not visibly retained through planning.","layout-indexes/materialization/admission","AdmittedLayoutMaterialization","Bind family, strategy, coverage basis, publication identity, freshness, absence posture, and scope.","Labels or copied coverage cannot enter selection; reopen preserves identity.","7","critical","partial"
"8","Strategy","Invariant admission","layout-indexes/strategy","AdmittedLayoutStrategy and B-tree/LSM invariant suites","Canonical laws exist but bare family choices and unadopted LSM proof machinery remain.","layout-indexes/strategy/admission","AdmittedLayoutStrategy bound to invariant suite","Unify registry admission with invariant proof and supported operation set.","Bare strategy family cannot enter selection; focused crates are warning-clean.","8","critical","partial"
"9","Planning","Candidate classification","layout-indexes/access/planning and planning","selection_policy; alternatives; audits","Old and new planning trees coexist and broad projections remain public.","layout-indexes/planning/candidate_classification","Private ClassifiedAccessCandidates","Collapse duplicate trees around one private exhaustive classifier consuming admitted capabilities.","No duplicate classifiers; declaration and registry order cannot change selection.","9","high","mixed_cutover"
"10","Planning","Deterministic selection","layout-indexes/planning","S8AccessPlanSelection; S8SelectedAccessPlan","Concrete identity and budget are retained but the path is focused-test-only and milestone named.","layout-indexes/planning/selection","SelectedIndexedRead or SelectedDegradedExactScan","Use permanent names; split owner at selection; wire an ordinary Store caller.","Production call sites exist; cross-owner lowering fails at compile time.","10","critical","partial"
