subsystem_id,subsystem,search_seed,search_scope,current_role,query_9_14_authority,classification,target_action,target_home,phase,manual_resolution,adjudication_status,implementation_status,completion_evidence
Q914C-001,Snapshot consumer request and progression,"consumer_projection_contract|projection_request|consume_bound|consume(","worth-ui-query-binding/src/application_binding/consumer_boundary.rs;worth-ui-query-binding/src/application_binding/snapshot_progression.rs","Mints the consumer contract but still permits an unbound projection declaration and does not retain contract-derived native selection","The exact consumer projection contract builds the bound request and resolves its declaration-indexed native access keys",replace,"Build the exact native selection and key from the same contract/request pair and use consume_bound on the ordinary snapshot path","worth-ui-query-binding/application_binding/snapshot_request",2,"The progression is legitimate but its request is not yet the completed Query 9.14 native-access contract",resolved,complete,"snapshot_native_request owns the exact pair-bound request and key; the public progression exposes only zero-argument consume"
Q914C-002,Measurement fact discovery and refinement,"request.kind().as_str|display_fields|derived_fields|as_float32|extract_single_extent","worth-ui-query-binding/src/application_binding/measurement_fact_observation.rs","String-matches Query fact families scans every displayed or derived fact and locally chooses the observed value","WorthQueryNativeAccessKey plus settled native_value access selects the exact declared fact in constant work",replace,"Accept only the already-selected keyed native value and perform one named UI measurement refinement","worth-ui-query-binding/application_binding/measurement_refinement",2,"UI owns measurement conversion but cannot discover Query selection by strings or whole-projection scans",resolved,complete,"settled native_value uses the contract-derived key and measurement refinement preserves exact Query denials"
Q914C-003,Settled positional native fact copy,"native_facts|native_fact_count|native_fact(index)|ConsumedFieldValueFact","worth-ui-query-binding/src/application_binding/settled_measurement_fact.rs","Clones all display and derived facts into a boxed slice and exposes positional reads","The exact settled projection owns its native facts and exposes only contract-keyed access",delete,"Remove the copied fact collection and positional accessors from ordinary UI evidence","worth-ui-query-binding/application_binding/settlement_retention",4,"A copied positional fact bag is redundant storage and a bypass around Query's declared access authority",resolved,complete,"WorthUiSettledSnapshotFact contains UI observations and owner-attributed evidence with no copied or positional Query fact collection"
Q914C-004,Execution and frame native evidence,"native_fact_count|native_fact(index)|ConsumedNativeValueView","worth-ui-query-binding/src/entry/observation/query_execution_evidence.rs;worth-ui-query-binding/src/entry/observation/query_frame_evidence.rs;worth-ui-runtime/src/runtime/tests/execution/virtualized_data_lane_boundary_tests.rs","Projects positional native facts into execution evidence and tests the escape hatch at the active plan edge","UI consequence evidence and exact Query access counters are the legitimate downstream observation",replace,"Project declared UI consequence counts and terminal access diagnostics without exposing positional Query values","worth-ui-query-binding/entry/observation;worth-ui-runtime/runtime/execution",4,"Frame evidence may prove the UI consequence reached the plan but may not expose a second Query fact-access lane",resolved,complete,"execution and frame evidence expose UI observations and exact counters while the hostile virtualized-lane tests cannot reach Query-native values"
Q914C-005,Exact settled snapshot evidence,"WorthUiExactSettledSnapshotEvidence|query_binding_identity|settlement_identity","worth-ui-query-binding/src/application_binding/snapshot_progression.rs","Calls evidence exact while copying printable Query binding and settlement identities into comparable strings","Operational identity stays owner-held and downstream crossing mints narrower opaque UI references after exact validation",replace,"Replace copied identity strings with sealed binding-authority and settlement references plus terminal reporting access","worth-ui-query-binding/application_binding/source_admission",3,"The evidence currently has exact installed reference but weakens current Query identity into representations that downstream code reuses operationally",resolved,complete,"settled evidence carries owner-minted opaque binding and settlement references and exposes no operational Query identity string"
Q914C-006,Settled projection retention,"WorthUiSettledSnapshotRetention|slots|source_generation|source_order","worth-ui-query-binding/src/entry/downstream_state/settled_snapshot.rs","Retains exact projections once in indexed slots and publishes complete refresh values","Query owns the retained settlement while UI owns slot topology and publication coordinates",refine,"Retain the exact projection once add admitted source references and publish a complete UI consequence without cloning facts","worth-ui-query-binding/entry/downstream_state/settled_snapshot",4,"The physical owner and atomic slot replacement are correct; access and identity artifacts inside the slot need modernization",resolved,complete,"settled_snapshot retains one exact projection and atomically publishes one complete revision-specific UI consequence per slot"
Q914C-007,Authored UI Query binding identity,"WorthUiQueryBindingIdentity|ViewBindingId|WorthUiQueryViewIdentity|result_shape","worth-ui-runtime/src/runtime/replacement/query_binding/identity.rs","Identifies UI-authored binding intent and result shape independently of runtime lifecycle","UI authors own binding identity and Query owns installed operational identity",retain,"Keep as UI meaning and pair it with separately admitted opaque Query-source references where currentness is required","worth-ui-runtime/runtime/replacement/query_binding",3,"This identity is legitimate downstream meaning; the bug is allowing Query strings to supplement it as owner authority",resolved,complete,"authored WorthUiQueryBindingIdentity remains UI meaning and is paired with separate opaque source references where currentness is required"
Q914C-008,Graph-world settled Query identity,"UiGraphWorldProfile::SettledQueryBinding|stable_text_digest(query_binding_identity)","worth-ui-runtime/src/graph/identity/graph_world_profile.rs","Uses a printable Query binding identity in graph equality and identity digest","The binding owner validates Query currentness and mints UI-local binding and settlement references",replace,"Store UI binding identity and sealed admitted source references; remove Query text from graph operational identity","worth-ui-runtime/graph/identity",3,"Graph worlds are UI-owned but their current source must be admitted by the Query binding owner rather than reconstructed from a label",resolved,complete,"graph worlds store authored UI identity plus the admitted binding reference and no Query text digest"
Q914C-009,Query measurement eligibility and source identity,"expected_query_binding_identity|UiQueryMeasurementSourceIdentity|StaleSettlement","worth-ui-runtime/src/admission/boundary/query_measurement_eligibility_boundary.rs;worth-ui-runtime/src/admission/support/ui_query_measurement_eligibility.rs","Classifies current or stale settlement by comparing expected and observed Query strings","Exact settlement readmission belongs to the binding owner and UI may classify the returned local reference",replace,"Validate sealed binding and settlement references then derive UI eligibility without Query-string comparison","worth-ui-runtime/admission/query_measurement",3,"Eligibility is real UI policy but the currentness predicate must consume owner-minted evidence",resolved,complete,"measurement eligibility compares owner-minted binding and settlement references and never copied Query labels"
Q914C-010,Settled Query fact receipt and key,"UiSettledQueryFactKey|query_binding_identity|settlement_identity","worth-ui-runtime/src/evidence/measurement/projection/settled_fact_receipt.rs","Keys consumed UI measurement evidence with Query identity strings","A compact UI settlement reference identifies the admitted source revision after owner validation",replace,"Key the receipt with UI binding identity and admitted settlement reference; keep Query labels only in inspection projection","worth-ui-runtime/evidence/measurement/projection",3,"The receipt is legitimate UI evidence but its source key is currently representational rather than authority-preserving",resolved,complete,"settled fact receipts carry authored UI identity and an admitted settlement reference with no operational Query string"
Q914C-011,Query allocation mapping,"UiQueryAllocationMapping|SettledSnapshot|query_binding_identity","worth-ui-runtime/src/evidence/measurement/basis/query_allocation_mapping.rs;worth-ui-runtime/src/evidence/measurement/basis/assembly_support.rs","Maps measurement evidence to allocation through a key containing copied Query identity","The UI consequence slot and admitted settlement reference are the downstream source of allocation meaning",replace,"Carry compact consequence-slot and admitted-source references; remove Query-string hashes and comparisons","worth-ui-runtime/evidence/measurement/basis",4,"Allocation is UI ownership but must not independently decide Query source identity",resolved,complete,"allocation mappings carry compact consequence-slot and admitted settlement references and no Query identity representation"
Q914C-012,Settled Query touch origin and authority,"UiGraphTouchOriginAuthority::SettledQueryBinding|query_binding_identity|stable_text_digest","worth-ui-runtime/src/obligations/touch/touch_origin.rs;worth-ui-runtime/src/obligations/touch/touch_authority.rs;worth-ui-runtime/src/obligations/touch/touch_authority/origin_receipts.rs","Mints and readmits graph touch authority from UI view plus Query identity text","Touch currentness must use the admitted UI settlement reference associated with the exact retained Query source",replace,"Retarget touch origin and readmission to UI binding identity plus sealed source reference","worth-ui-runtime/obligations/touch",3,"Touch is UI authority but the source-currentness ingredient cannot be reconstructed from Query labels",resolved,complete,"touch origin and owner readmission use the admitted settlement touch reference; foreign settlement touches are denied"
