"claim","phase","closure_claim","required_evidence","current_evidence","risk_lenses","status"
"real_file_lifecycle","7","One real file-authored application crosses the OS watcher DSL runtime product lifecycle mounted execution inspection and cleanup boundaries","real filesystem hostile journey with exact generation and cleanup observations","real_file_mount_measure_preview_and_watcher_edit_publish_one_mounted_successor passed inside the 152-test application target with exact generation watcher shutdown and egui observations","integration;authority;cleanup","PROVED"
"independent_semantic_oracle","7","Selected file and Rust-authored fixtures converge semantically against an expectation independent of production lowering","independent authored model plus file/Rust production outcomes","file_and_rust_query_free_and_backed_worlds_match_one_mounted_contract passed against an independently constructed Rust-authored graph expectation","oracle independence;semantic parity","PROVED"
"hot_frame_source_exclusion","7","Unchanged and changed steady frames perform no parsing lowering source acquisition or registry discovery after activation","poisoned on-disk source production counter receipts and continued mounted behavior","poisoned_watched_source_cannot_enter_unchanged_or_changed_mounted_frames and the sealed counter hostility witness passed with unchanged active and mounted generations","hot path;hidden source work","PROVED"
"invalid_edit_preservation","7","Malformed watcher-observed source stops at DSL and preserves the complete active and mounted predecessor tuple","real watcher syntax denial plus exact predecessor comparison","real_watcher_distinguishes_dsl_and_runtime_denials_while_preserving_predecessor passed through the operating-system watcher and retained the exact predecessor plus continued egui execution","failure ownership;atomicity","PROVED"
"runtime_denial_preservation","7","Valid authored syntax can pass DSL yet deny unsupported runtime capability admission without changing predecessor truth","real watcher runtime denial plus DSL evidence and exact predecessor comparison","the real watcher denial journey reached WorthUiSemanticHandoffPreparationStop::CapabilityResolution after valid DSL compilation and preserved active publication","phase ownership;atomicity","PROVED"
"interrupted_replacement_preservation","7","Stops at handoff preparation presentation publication and reconciliation retain one complete predecessor without mixed authority","typed stop outcomes and full predecessor tuple assertions","precommit rollback replacement atomicity pending publication indeterminacy and reconciliation witnesses all passed in the 152-test application target","interruption;partial publication","PROVED"
"adapter_parity","7","Headless and real egui consume the same sealed mounted meaning while proving only their independent mechanical consequences","headless transcript oracle real egui frame and source-authority denial","headless_and_egui_consume_equivalent_sealed_meaning_with_independent_consequences passed and the adapter source-authority AST hostility test passed in the 14-test Phase 7 suite","adapter independence;overclaiming","PROVED"
"allocation_cost","7","Unchanged steady mounted execution satisfies the existing allocation contract under an independent thread-scoped observer","independent allocation measurements reconciled with production receipts","public acquisition exact reuse and unchanged execution measured zero allocations; one-instance change remained bounded; executor receipts reconciled with the independent thread-scoped observer","allocation hiding;cross-crate cost","PROVED"
"scope_scaling","7","Local replacement and frame work follow changed scope rather than unrelated source declaration graph or mounted breadth","independent scale variations and named cost-granule assertions","realtime unrelated-width canvas-region and one-instance mounted-cost metamorphic witnesses passed with exact named work granules","complexity;broad scans","PROVED"
"facade_only_journey","7","The primary downstream lifecycle compiles and runs through named product DSL and Query audiences without runtime implementation or mounted phase imports","source audit compile owner and real behavioral journey","mounted_frame_uses_app_surface passed in the canonical compiler matrix and the exact callable/source audits rejected internal runtime or mounted phase imports","DX;reachability;facade honesty","PROVED"
"build_budget","7","Integration targets do not increase and compiler evidence remains in the canonical fixture workspace with exactly two Cargo sessions","target inventory hostile growth guard and executed 23-fail/12-pass compiler matrix","standalone topology and hostile growth guards passed; the canonical executor passed 23 fail and 12 pass targets in exactly 2 Cargo sessions with 9 certification targets","build cost;test topology","PROVED"
"comparable_closing_costs","7","Every required operation and verification lane has separately recorded comparable closing evidence with explicit regression adjudication","closing evidence JSON validated against opening methodology and required categories","The historical shared-cache record is retained without a speed claim; a same-machine paired immutable-base/current run used distinct empty targets and identical commands, proving cold workspace check 118.412s versus 79.325s, warm platform 1.081s versus 1.122s, warm fast 264.414s versus 304.681s, and compile contracts 83.797s for 24 cases versus 112.989s for 35 cases with two sessions on both sides; seven live/hostile closing-evidence tests pass","measurement honesty;baseline drift","PROVED"
