id,production_claim,fixture_provenance,typed_result,mutation_control,structural_cost,teardown,evidence_command,status,evidence
"IA-01","The inherited Platform Pulse accepts real native actions through the canonical host, derives typed intent admission, invokes the application provider and its separate Query/domain admission, then visibly publishes the consequence.","Real filesystem, source watcher, Query installation, native process, window, renderer, pixels, external product gate, and production provider wiring; no injected host event or framework authority.","Correlated native observation, interaction, payload, operability, admission, attempt, provider, Query/domain outcome, publication, mounted posture, pixel, and close receipts.","Mutate native action, source, Query value, external gate, confirmation, and rebind timing independently while fixed controls remain unchanged.","One definition/provider per application generation, compact per-control routes, bounded attempts/evidence, no global scans, and a journey at or below 45 seconds.","Every observation, gesture, draft, payload, challenge, attempt, provider handle, Query owner, consequence receipt, window, and process closes exactly once.","cargo test --manifest-path workspaces/worth-ui/Cargo.toml -p worth-ui-platform-pulse --features executable-world --test executable_world courtroom::platform_pulse_intent::canonical_platform_pulse_intent_reaches_visible_query_backed_consequence -- --exact --nocapture","PROVED","source=real filesystem, watcher, Query installation, Cargo-built child, one native window, OS input, renderer pixels, external gate, and production provider; result=the exact IA-01 courtroom passed 1/1 in 16.12 seconds, below its 45-second cumulative ceiling with five-second transition deadlines; proof=8 native activations, 7 source actions, 3 provider starts, 2 completions, 2 Query actions, 10 visible postures, distinct attempts, and at least 9 changed control pixels are asserted across admission, completion, stale and fresh confirmation, disabled and policy denial, held execution, source-rebind cancellation, and visible Query consequence; authority=correlated runtime receipts, not diagnostic values or injected framework authority, carry the action through separate Query/domain admission and mounted publication; teardown=terminal-last lifecycle, successful process exit, joined watchers, terminal Query owner, released host session, removed installation, and exact-zero visual residue; owner=P5-03"
"IA-02","Pointer and keyboard activation target only one exact presented mounted incarnation through owner-issued continuity.","Production mounted frames, hit-test participation, host observations, capture epochs, and interaction compiler.","Move-only semantic activation or exact typed gesture/targeting stop.","Vary target, overlap, clipping, surface, presentation, binding, mounted incarnation, remount compatibility, and press/release position independently.","Targeting uses bounded indexed mounted identity and performs no renderer scan or current-coordinate retargeting.","Press, capture, continuity, and stopped interaction resources retire exactly once.","cargo test --manifest-path workspaces/worth-ui/Cargo.toml -p worth-ui-certification --test application_contracts intent::gesture::ia_02 -- --nocapture","PROVED","source=real filesystem-mounted presentation and production interaction owner; result=10 independent exact-target, stale/foreign/remount, geometry, capacity, lifecycle, and shutdown tests passed in 0.34 seconds without coordinate or identity proxy retargeting; owner=Phase 2"
"IA-03","Loss-aware ordered native observations compile into exactly the interactions justified by complete transition history.","Production host observation batches and installed egui translators with an independent gesture model.","Ordered interaction receipts or exact loss, capacity, capture, repeat, and composition stops.","Duplicate, reorder, skip, delay, coalesce, overflow, repeat, double activation, capture change, and capacity minus-one/at/plus-one.","Work scales with admitted observations and active pointers; motion-only turns perform no semantic intent work.","Every retained observation, pointer state, capture, composition, and interaction is disposed exactly once.","cargo test --manifest-path workspaces/worth-ui/Cargo.toml -p worth-ui-certification --test application_contracts intent::observation::ia_03 -- --nocapture","PROVED","source=installed egui translators, production ordered observation drain, shared mounted world, and independent gesture model; result=6 hostile trace tests passed in 0.54 seconds across duplicate/reorder/skip/delay/overflow, repeat, capacity, replacement, wrong-family input, and exact zero interaction residue; owner=Phase 2"
"IA-04","Operability derives from one coherent revision across seven orthogonal axes and only its exact proof advances.","Production support, projection/draft mutability, readiness, scoped occupancy, policy, affinity, and confirmation owners.","Operability decision with all machine-readable causes, or one move-only operability proof.","Exhaust the small lattice and pairwise coupled axes while varying target/declaration/definition/application occupancy scope.","Only selected-route dependencies are visited; no Cartesian materialization or unrelated-control reevaluation.","All dependency receipts and occupancy observations close without retaining authority.","cargo test --manifest-path workspaces/worth-ui/Cargo.toml -p worth-ui-certification --test application_contracts intent::operability::ia_04 -- --nocapture","PROVED","source=production definition destination, Query and application facts, committed drafts, scoped occupancy, mounted affinity, confirmation policy, and the exact immutable payload basis; result=7 warm IA-04 tests passed in 0.19 seconds, including all 256 closed-axis decisions through production plus 32 real-world boolean/occupancy evaluations; oracle=independent test-owned cause ordering and operability model, with the prior self-only lattice comparison removed; mutation=unsupported, wrong-world, rebind-required, stale-target, policy, readonly, pending, confirmation, and four concurrency scopes were varied without unrelated peer disablement; authority=certification can classify typed axes but cannot mint a candidate, proof, or reservation, while compile twins enforce move-only private-field proof and product reservation absence; cost and lifecycle=real decisions visit exactly seven selected-route axes, retain four exact external references where declared, release exact reservations, and return occupancy census to zero; honesty regression=the real native Query rebind fixture now installs the owner-issued projection registration before passing pending/current facts through standard rebind; broader evidence=921 runtime tests, 12 doc compile-fails, 50 fail and 16 pass compile-contract targets in two Cargo sessions, strict warnings, format, line caps, composition, topology, boundary, and context gates passed"
"IA-05","Typed payload projection consumes one coherent immutable input basis and admits only committed exact identities and text without becoming mutability authority.","Production Query projection facts, runtime-owned drafts, constants, application fact contracts, and declaration schemas.","Typed sealed payload and input-basis receipt, exact catalog denial for impossible shape, or exact runtime revision, budget, and affinity stop; readonly remains a P3-04 operability decision.","Vary source shape at catalog formation, then field width, Unicode byte limits, IME phases, selection order, projection/draft revision, Query change, and malformed input; vary readonly in IA-04.","Work and retained bytes scale with declared payload fields and admitted bytes, not renderer, graph, or Query width.","Every fact, draft revision, projection receipt, input basis, payload, and stopped predecessor closes once.","cargo test --manifest-path workspaces/worth-ui/Cargo.toml -p worth-ui-certification --test application_contracts intent::payload::ia_05 -- --nocapture","PROVED","source=Phase 3 P3-03 production worlds and exact typed projectors; result=9 warm IA-05 tests passed in 0.33 seconds with independent value, identity, revision, affinity, posture, byte-cost, retained-owner, and teardown observations; mutation=impossible collection-to-text shape stopped during catalog formation, runtime incoherence stopped before sealing, native preedit never entered committed text, reorder preserved row identity but invalidated stale owner revision, predecessor/successor bases stayed immutable, foreign launched generation and retired target stopped exactly, and active publication denied assembly; architecture=one active session-plus-prepared generation stamps interaction and application inputs through the same immutable basis view, with no renderer, adapter, positional, JSON, Any, string-map, mutability, or parallel generation authority; compile and repository evidence=two-session intent twins, strict warnings, line caps, boundary-check, agent-context, and hostile ordered-ledger audit passed"
"IA-06","Confirmation consumes at most one exact affine challenge and re-enters admission rather than invoking execution.","Production payload, operability, policy, mounted identity, world/generation, monotonic expiry, and challenge-slot owners.","A new admission decision or exact stale, foreign, duplicate, ambiguous, expired, cancelled, or replay stop.","Duplicate/simultaneous confirm and changes to every challenge-bound identity or revision are varied independently.","Lookup is bounded by pending challenge capacity and does not reassemble payload or rescan controls.","Challenges, candidate authority, continuations, expiry records, and stopped slots retire exactly once.","cargo test --manifest-path workspaces/worth-ui/Cargo.toml -p worth-ui-certification --test application_contracts intent::confirmation::ia_06 -- --nocapture","PROVED","source=production payload, operability, product/confirmation route, mounted identity/incarnation, application generation/fact, occupancy, policy, and monotonic-time owners; result=7 hostile IA-06 tests passed in 0.17 seconds; honesty repair=the former exact-success proof stopped at AdmissionReady without re-entering admission; the corrected proof calls admit_confirmed_intent, observes one active attempt with one retained candidate and payload, releases it to exact zero, and observes zero provider begin calls; mutation=duplicate, ambiguity, frame, expiry/time basis, payload and dependency revisions, policy, confirmation, occupancy, foreign world, both target roles, application route replacement, replay, and shutdown; replacement=real authored route change published a successor intent catalog while the renderer plan stayed equal, cancelled the old challenge, and retained semantic-no-op regressions; cost=16-slot exact lookup and one retained prepared payload with no reprojection; lifecycle=admission release, cancellation, ambiguity, expiry, replay, and shutdown reached typed terminal postures with zero active attempts, pending challenges, retained candidates, and retained payloads; compile=53 fail and 16 pass targets remained two Cargo sessions"
"IA-07","Every pre-effect and effecting lifecycle interruption reaches an honest typed terminal posture across replacement, unmount, and shutdown.","Production owners at host retention, targeting, gesture, payload, operability, admission, reservation, dispatch, effect, completion, consequence, and publication.","Typed phase-local terminal receipt preserving exact predecessor/provider versions where required.","Interrupt each safe point and cross relevant points with compatible/incompatible replacement, unmount, cancellation, timeout, and shutdown.","Only affected owners are visited; bounded predecessor leases retain exact versions until settlement.","Each governed owner is consumed, returned, retained under lease, or disposed exactly once with no escaped-effect rollback claim.","cargo test --manifest-path workspaces/worth-ui/Cargo.toml -p worth-ui-certification --test application_contracts intent::lifecycle::ia_07 -- --nocapture","PROVED","cumulative source=closed IA-02 through IA-06 rows retain the production host, target, gesture, payload, operability, admission, and confirmation safe-point evidence; new source=typed provider lifecycle, real authored replacement, mounted removal, completed-effect consequence transaction, Query owner, and shutdown owner; result=the frozen IA-07 crossing test passed four real worlds in 0.22 seconds; mutation=application replacement cancelled pre-effect work with ApplicationRebound, mounted removal after effect uncertainty rejected a contradictory before-effect claim and recovered through the retained exact attempt/idempotency, generation replacement retained consequence-only recovery without repeating the 1/1 provider effect, and shutdown reported one indeterminate disposal rather than rollback; teardown=each world reached zero active execution after typed settlement or shutdown"
"IA-08","Framework-managed execution reserves narrow capacity, invokes only the typed destination provider, and preserves partial or indeterminate recovery.","Production application, UI-transition, unsupported runtime-service destinations and separately admitted product/domain ports.","Exhaustive typed execution outcome, settlement receipt, or recovery authority.","Vary destination, capacity scope, provider blocking, rejection, cancellation, timeout, downstream denial, success, partial effect, indeterminacy, duplicate settlement, late settlement, and retry.","Reservations are scoped by application, destination/provider, intent, and bytes; one provider creates no global head-of-line blocking.","Attempt, reservation, provider handle, settlement, recovery, deadline, and cancellation owners close exactly once.","cargo test --manifest-path workspaces/worth-ui/Cargo.toml -p worth-ui-certification --test application_contracts intent::execution::ia_08 -- --nocapture","PROVED","source=production filesystem-mounted routing, destination-specific frozen bindings, execution reservation owner, typed scripted application provider, framework lifecycle/recovery owner, completed-effect consequence transaction, and independent Query admission owner; result=the frozen IA-08 matrix passed in 0.33 seconds and 28 neighboring operability, lifecycle, and consequence owner tests remained green; destination=the internal UI transition completed without an application provider while the explicitly unsupported runtime service stopped in operability before reservation; scope=application-global and application-effect-destination capacity each denied exactly and independently reacquired after release; lifecycle=seven attempts proved rejection, cancellation, blocked-peer independence, two successes, partial and indeterminate recovery, and an unpolled contradictory late settlement, while a deadline stop retried cleanly; domain=one 1/1 completed provider effect produced a foreign Query consequence that the downstream owner denied without local staging or admission; teardown=exact provider counts were [7,7,1,2,6,2,1], every world reached zero active execution/admission after shutdown, and strict-warning certification check passed"
"IA-09","While one intent is effecting, real native interaction plus owner-issued source, Query, and viewport changes converge through the existing observation and rebind authorities to one canonical order, exact target affinity, and at most one cause publication.","Installed egui input translators, production 3.12 observation compiler and effecting queue, watched-source replacement owner, live Query projection, host-validation authority, mounted successor, and host publication.","One occupied exact-target interaction verdict, one sealed canonical three-family observation set, and one atomic successor publication, or an exact bounded stop at the owning boundary.","An independent model exhausts 24 unique cross-owner arrival and admission orders, records the order actually exercised, balances interaction at every position six times, and holds semantic input fixed.","Exact scope cost is 3 observations, 3 changed facts, 6 lookup receipts, and 6 index probes; the existing effecting queue admits 3 once, with no OS clock, polling, second queue, or executor.","Intent cancellation settles once; the live Query owner closes; attempts, occupancy, recovery, observations, rebind, and mounted presentation return to zero with exact provider disposal counters.","cargo test --manifest-path workspaces/worth-ui/Cargo.toml -p worth-ui-certification --test application_contracts intent::ordering::ia_09 -- --nocapture","PROVED","source=installed egui native-input translation, one production effecting intent, watched-source candidate, live Query refresh, host-validated viewport evidence, the 3.12 observation compiler and sole effecting queue, and atomic application plus mounted publication; result=24 unique modeled orders passed in 2.49 seconds and each actual modeled admission trace equaled its independent input order; ordering=interaction occupied the exact effecting mounted target in every world and appeared at each modeled position six times, while the sealed observation owner canonicalized AuthoredSource, HostViewport, and Query; host-sequence=viewport evidence was issued after the adapter's native sequence because production has one monotonic host sequence and no invented global cross-owner clock or second event queue; publication=the queue admitted exactly 3 observations, retained one queued set, and produced exactly one cause successor distinct from the predecessor effecting publication; cost=every order measured 3 observations, 3 changed facts, 6 lookup receipts, and 6 index probes; teardown=execution census was zero active, occupied, and recovering before shutdown, live Query closed, shutdown rebind and mounted-presentation census was empty, and provider counters were exactly [1,1,1,0,1,0,1]; regression=the inherited QP-06 ordering and capacity pair passed in 0.46 seconds; structure=strict warnings, forbidden-mechanism search, function scrutiny, official line cap, supplemental 327-dirty-Rust-file cap, and 3-package zero-compile-target topology budget passed"
"IA-10","Intent storage and ordinary work obey contractual slopes across control count, interaction count, payload width, queue occupancy, and storms.","Production definitions, compact routes, mounted controls, payload projectors, attempt queues, and structural counters.","Typed cost snapshot correlated to the exact application generation and completed/stopped work.","Scale one definition across 1, 1024, and 65536 controls; 0, 1, and 16 interactions; 0, 1, and 64 fields; occupancy 0, 15, 16, and 17; motion and activation storms.","Definition/provider storage is constant per generation; route storage is linear; unchanged and motion-only semantic intent work is zero; ordinary lane remains below 60 seconds.","Cost sampling precedes exact disposal of all measured authority and retained bytes.","cargo test --manifest-path workspaces/worth-ui/Cargo.toml -p worth-ui-certification --test application_contracts intent::cost::ia_10 -- --nocapture","PROVED","source=production intent catalog, mounted interaction, payload projection, operability, admission, execution reservation, provider, and structural cost receipts; result=4 exact IA-10 tests passed in 0.27 seconds, 2 ordinary route-scale tests passed in 0.21 seconds, and the ignored-by-default 65,536-route closure stress passed in 53.29 seconds; slopes=definition/provider/declaration counts remain 1 while product routes scale 1/1,024/65,536, successful last-route resolution at 1 and 1,024 performs exactly one product-index probe, payload work is exactly 0/1/64 declared fields, target-affine occupancy reaches 0/15/16 and the seventeenth stops before effect, 16 activations visit/call/settle exactly 16 slots/providers/attempts, and unchanged plus 16 motion reports produce zero semantic/admission/provider work; compiler=the catalog-owned u8 route-cost type is unforgeable outside its owner and is required through route, payload-basis, and admission construction; world=one route uses the complete production mount/admit path, 1,024 holds mounting width fixed while proving the final indexed route, and 65,536 is intentionally storage-only because real hit-order and surface-capacity invariants reject a counterfeit simultaneous mounted world; mutation=counter minting moved from the downstream resolver into the actual catalog lookup, and the storage stress was decoupled from O(n) certification artifact discovery after that mixed test regressed from 50.03 to 83.10 seconds; teardown=all attempts cancel or settle rejected-before-effect and each application session shuts down at exact zero retained admission state; quality=format, strict all-feature clippy, official WORTH UI line cap, and the allowlist-aware 582-dirty-Rust-file inventory passed"
