path,match_families,deletion_phase,replacement_owner,absence_gate,status,disposition,disposition_basis
crates/worth-store-buffer-pool/src/api_compile_fail_proofs.md,legacy-frame-table;legacy-record-view;snapshot-residency-authority,phase-8,workspace:crates/worth-store/tests/physical_runtime_authority/,source-and-metadata-absence,deleted-phase-8,delete,Delete mixed legacy proof file after canonical Store authority proofs own surviving cases
crates/worth-store-buffer-pool/src/background_work/queue_execution/declaration.rs,isolated-speculative-queue,phase-6,physical_residency/speculation/queue_declaration/,source-and-metadata-absence,deleted-phase-6,delete,Legacy-only path removed; replacement owner carries any surviving responsibility
crates/worth-store-buffer-pool/src/background_work/queue_execution/mod.rs,isolated-speculative-queue,phase-6,physical_residency/speculation/queue_declaration/,source-and-metadata-absence,deleted-phase-6,delete,Legacy-only path removed; replacement owner carries any surviving responsibility
crates/worth-store/src/bin/physical_store_work_courtroom.rs,c6-identifier,phase-7,workspace:crates/worth-store/src/bin/physical_store_work_courtroom.rs,source-and-metadata-absence,deleted-phase-7,narrow,Retain canonical file; remove only the ledger-matched legacy surface
crates/worth-store/src/bin/physical_store_work_courtroom/arguments.rs,c6-identifier,phase-7,workspace:crates/worth-store/src/bin/physical_store_work_courtroom/arguments.rs,source-and-metadata-absence,deleted-phase-7,narrow,Retain canonical file; remove only the ledger-matched legacy surface
crates/worth-store/src/bin/physical_store_work_courtroom/c6_pressure/configuration.rs,c6-identifier,phase-7,workspace:crates/worth-store/src/bin/physical_store_work_courtroom/bounded_residency/configuration.rs,source-and-metadata-absence,deleted-phase-7,delete,Legacy-only path removed; replacement owner carries any surviving responsibility
crates/worth-store/src/bin/physical_store_work_courtroom/c6_pressure/dirty_pressure.rs,c6-identifier,phase-5,workspace:crates/worth-store/src/bin/physical_store_work_courtroom/bounded_residency/writeback_pressure.rs,source-and-metadata-absence,deleted-phase-5,delete,Legacy-only path removed; replacement owner carries any surviving responsibility
crates/worth-store/src/bin/physical_store_work_courtroom/c6_pressure/mod.rs,c6-identifier,phase-7,workspace:crates/worth-store/src/bin/physical_store_work_courtroom/bounded_residency/mod.rs,source-and-metadata-absence,deleted-phase-7,delete,Legacy-only path removed; replacement owner carries any surviving responsibility
crates/worth-store/src/bin/physical_store_work_courtroom/c6_pressure/protocol.rs,c6-identifier,phase-7,workspace:crates/worth-store/src/bin/physical_store_work_courtroom/bounded_residency/protocol.rs,source-and-metadata-absence,deleted-phase-7,delete,Legacy-only path removed; replacement owner carries any surviving responsibility
crates/worth-store/src/bin/physical_store_work_courtroom/c6_pressure/read_pressure.rs,c6-identifier,phase-7,workspace:crates/worth-store/src/bin/physical_store_work_courtroom/bounded_residency/read_pressure.rs,source-and-metadata-absence,deleted-phase-7,delete,Legacy-only path removed; replacement owner carries any surviving responsibility
crates/worth-store/src/bin/physical_store_work_courtroom/c6_pressure/writeback_pressure.rs,c6-identifier,phase-7,workspace:crates/worth-store/src/bin/physical_store_work_courtroom/bounded_residency/writeback_pressure.rs,source-and-metadata-absence,deleted-phase-7,delete,Legacy-only path removed; replacement owner carries any surviving responsibility
crates/worth-store/src/bin/physical_store_work_courtroom/configuration.rs,c6-identifier,phase-7,workspace:crates/worth-store/src/bin/physical_store_work_courtroom/configuration.rs,source-and-metadata-absence,deleted-phase-7,narrow,Retain canonical file; remove only the ledger-matched legacy surface
crates/worth-store/src/physical_runtime/record_serving/c6_handoff/failure.rs,c6-identifier;temporary-handoff,phase-7,workspace:crates/worth-store/src/physical_runtime/record_serving/residency/failure.rs,source-and-metadata-absence,deleted-phase-7,delete,Legacy-only path removed; replacement owner carries any surviving responsibility
crates/worth-store/src/physical_runtime/record_serving/c6_handoff/identity.rs,c6-identifier;temporary-handoff,phase-7,workspace:crates/worth-store/src/physical_runtime/record_serving/residency/capability.rs,source-and-metadata-absence,deleted-phase-7,delete,Legacy-only path removed; replacement owner carries any surviving responsibility
