"id","phase","closure_claim","required_evidence","current_evidence","risk_lenses","status"
"P3-01","3","WorthUiHostEgui advertises and performs NativePaint only from complete mounted filled-rectangle mechanics.","Capability contract and adapter admission tests.","host-egui adapter tests pass; native_paint validates protocol, schema, frame, surface, binding, allocation, node receipt, geometry, and paint reference before effects.","authority;effect admission","PROVED"
"P3-02","3","The egui adapter translates canonical rectangle bounds, clip, color, and layer mechanically without selecting application meaning.","Independent native-shape oracle.","platform_pulse::checked_in_pulse_meaning_produces_one_independently_expected_native_egui_shape observes exactly one 0/0/160/96 rectangle with #2f81f7.","oracle independence;adapter honesty","PROVED"
"P3-03","3","Unsupported or incomplete native paint rejects before any egui shape is emitted.","Hostile adapter fixtures.","host-egui rejection fixtures retain the zero-shape predecessor case for unsupported or malformed projections.","pre-effect denial;partial effects","PROVED"
"P3-04","3","The permanent pulse is one downstream workspace application rather than a facade, runtime, adapter, certification, or milestone-local authority package.","Workspace membership and dependency audit.","apps/platform-pulse is the single worth-ui-platform-pulse member and imports only worth-ui, worth-ui-host-egui, and the frozen eframe shell dependency.","topology;authority","PROVED"
"P3-05","3","The pulse composition root is wired to read checked-in app/main.wui through the production filesystem provider and DSL-owned handoff.","Product source-path audit plus real filesystem application preparation.","application::prepare starts WorthUiFilesystemSourceWatcher, takes its initial snapshot, lowers through capabilities, and freezes the file-authored application; P3-09 separately records the real manual binary launch.","real boundary;source ownership;evidence classification","PROVED"
"P3-06","3","The public application shell can launch one semantic surface, register it, mount graph instances, establish viewport allocation, and publish without exposing construction authority to a downstream caller.","In-process public-shell integration courtroom.","platform_pulse::product_native_shell_launches_and_presents_without_mounted_construction_apis publishes one egui shape through WorthUiApp::launch_native_surface inside a certification-owned egui context; this is not product-binary entry evidence.","facade honesty;integration reachability;evidence classification","PROVED"
"P3-07","3","The native eframe bridge owns scheduling and display only; no direct painter or debug-shape bypass exists.","Source scan and mutation control.","apps/platform-pulse contains no Painter, layer_painter, rect_filled, Shape, or host-contract construction; the only native publication marker follows shell.present_frame.","bypass;effect ownership","PROVED"
"P3-08","3","Initial adapter cost is exact and visible.","Exact production cost assertions.","The pulse courtroom asserts one presented surface, 6 translated rows, 560 translated bytes, zero cache hits, zero cache misses, zero asynchronous handoffs, and one native shape.","cost honesty;hidden work","PROVED"
"P3-09","3","The documented command launches the real checked-in application and reaches a visible publication.","Measured manual executable launch with permanent marker.","cargo run --manifest-path workspaces/worth-ui/Cargo.toml -p worth-ui-platform-pulse launches the app; a clean native binary run emitted WORTH_UI_PLATFORM_PULSE_PUBLISHED. This is valid manual product evidence, not an automated executable-world test.","human evidence;real executable;evidence classification","PROVED"
"P3-10","3","The native main-thread lifecycle does not overflow from inline source-truth multiplication.","Causal footprint cap and bounded-stack transaction.","UiAdmittedAllocationStreamIngress owns source truth behind one pointer; scheduler regressions cap prepared replacement at 24 KiB and complete prepare/receipt/commit on a 512 KiB stack.","runtime viability;stack cost","PROVED"
"P3-11","3","The app adds exactly one executable while remaining outside ordinary test execution.","Cargo metadata and manifest posture.","The workspace has 12 members and 21 targets; the pulse manifest sets autotests=false and certification remains at 9 integration targets.","build topology;test cost","PROVED"
"P3-12","3","Phase 3 preserves the complete runtime-to-host authority boundary and file-size discipline.","Full affected suites, boundary checks, and line caps.","The final verification command set covers runtime, host-contract, host-egui, application contracts, topology, workspace compilation, formatting, scoped line caps, boundary-check, and agent-context.","constitution;composition","PROVED"
