producer_family,producer_posture,ui_availability,ui_currency,ui_activity,predecessor_requirement,predecessor_disposition,authority_source
Query async result,Pending,Unavailable(Pending),none,none,absent,reject-and-return if present,WorthQueryRuntimeAsyncResultState
Query async result,Current,Present,Current,none,optional,replace and release,WorthQueryRuntimeAsyncResultState plus consumed Query projection
Query async result,Failed,Unavailable(Failed),none,none,optional,return unchanged,WorthQueryRuntimeAsyncResultState
Query async result,Stale,Present,RetainedStale,Idle,required,consume into successor fact,WorthQueryRuntimeAsyncResultState
Query async result,Cancelled,Unavailable(Cancelled),none,none,optional,return unchanged,WorthQueryRuntimeAsyncResultState
Query async result,Retried,Unavailable(Retried),none,none,optional,return unchanged,WorthQueryRuntimeAsyncResultState
Query async result,Revalidating,Present,RetainedStale,Revalidating,required,consume into successor fact,WorthQueryRuntimeAsyncResultState
Query async result,Superseded,Unavailable(Superseded),none,none,optional,return unchanged,WorthQueryRuntimeAsyncResultState
Query async result,Denied,Unavailable(Denied),none,none,optional,return unchanged,WorthQueryRuntimeAsyncResultState
Query consumer support,Unsupported,Unavailable(Unsupported),none,none,optional,return unchanged,Query consumer-support denial
Query remask posture,Remasked,Unavailable(Remasked),none,none,optional,return unchanged,Query remask artifact
WUI admission over Query evidence,BasisDrift,Unavailable(BasisDrift),none,none,optional,return unchanged,Query basis identities from binding and transition
WUI admission over Query evidence,GenerationDrift,Unavailable(GenerationDrift),none,none,optional,return unchanged,Query checkpoint and result-generation identities
