id,closure_claim,evidence_required,status,evidence
P1-01,"Every source-to-native edge names producer, consumer, cardinality, lifetime, authority owner, failure owner, effect owner, cost class, and forbidden shortcut.","Machine audit of the exact fourteen-edge ledger plus mutation of required fields.",PROVED,"source_to_pixel_contract audits the exact fourteen rows and all required fields; the full certification suite passed."
P1-02,"The permanent pulse is a downstream application composition root; neither worth-ui nor worth-ui-host-egui owns its composition decisions.","Frozen composition-root rationale plus dependency and facade/adapter topology checks.",PROVED,"courtroom_contract and destination_topology require the named app owner and exact facade/adapter exclusions; boundary-check accepts the topology."
P1-03,"The canonical source, stable scenario identity, initial rectangle, initial color, valid edit, malformed edit, and replacement classification are exact and singular.","Courtroom contract parses exact values and rejects drift.",PROVED,"courtroom_contract audits the canonical path, source bytes, scenario id, 0/0/160/96 rectangle, both RGBA values, valid edit, malformed edit, and whole-application classification. Phase 2 real-boundary evidence amended the provisional 32/32 offset because no admitted source, allocation, or host authority owned it."
P1-04,"Complete static paint requires mounted receipt, committed allocation, admitted authored color, layer, clip, binding, and frame identity.","Exact required-join audit and eight reject-before-effects rows.",PROVED,"source_to_pixel_contract audits the exact complete join and eight named denial rows."
P1-05,"Every incomplete or foreign paint basis rejects before effects and preserves predecessor truth.","Exact denial lattice plus future Phase 2 behavioral handoff.",PROVED,"Phase 1 freezes all eight reject-before-effects and predecessor-preservation obligations. Behavioral execution remains explicitly assigned to Phase 2; no Phase 1 behavior claim is made."
P1-06,"Direct egui drawing, injected source, count-only paint, and detached screenshot evidence cannot satisfy the courtroom.","Four independently required mutation rows and fault-sensitive audit tests.",PROVED,"negative_fixtures independently removes each of the four required controls and each control's full causal evidence set; all mutation tests passed."
P1-07,"The existing real-WUI no-effect egui test remains honest predecessor evidence.","Production predecessor test publishes with zero synthetic shapes.",PROVED,"mounted_egui_adapter::real_wui_no_effect_frame_publishes_without_synthetic_egui_shapes passed in the complete certification run."
P1-08,"The pulse can depend only on worth-ui, worth-ui-host-egui, and the frozen native shell dependency.","Boundary-check source dependency allowlist, positive unit test, and forbidden runtime dependency unit test.",PROVED,"Road 1 names the exact three dependencies; all three configured_source_dependency_allowlists unit tests and the full boundary-check corpus passed."
P1-09,"Phase 1 adds no workspace member, Cargo target, integration target, compiler-contract session, retry, or fixture workspace.","Opening baseline plus live workspace topology audit.",PROVED,"Live cargo metadata remains 11 workspace members, 20 targets, and 9 integration targets with no pulse package; the audit freezes 2 compiler sessions, 0 retries, and 2 existing fixture workspaces."
P1-10,"The only later allowed topology growth is one pulse member and one native executable; integration targets and compiler sessions remain fixed.","Future-aware topology budget audit and exact maximums.",PROVED,"opening_cost_budget enforces maxima 12 members, 21 targets, 9 integration targets, 2 compiler sessions, and exactly one future native executable."
P1-11,"3.10.1 historical inventory remains exhaustive without absorbing or hiding the named 3.10.2 successor family.","Separate certification-surface row, narrow historical exclusions, and absorption/omission mutations.",PROVED,"The historical inventory has a separate seven-file successor row; absorption, omission, and arbitrary-future-file mutations passed in the full certification suite."
P1-12,"The current facade gaps are explicitly frozen and cannot be bypassed by importing runtime or certification support.","Two public-gap rows plus compile-visible pulse dependency law.",PROVED,"The contract requires exactly the incomplete static-paint and unborn composition-root gaps; Road 1 denies every unlisted pulse dependency."
P1-13,"Phase order remains honest: Phase 1 changes inventory and enforcement only; no static-paint or application implementation exists yet.","Diff inspection against Phase 2 and Phase 3 destination paths.",PROVED,"Live metadata reports zero pulse packages and targets; no app source, native_paint implementation, or host-contract/runtime static-paint implementation was added."
P1-14,"Boundary-check and agent-context accept the exact final Phase 1 source.","Final constitutional commands on the final source state.",PROVED,"cargo run --manifest-path tools/boundary-check/Cargo.toml -- --root . and cargo run --manifest-path tools/agent-context/Cargo.toml -- check both passed."
P1-15,"The tests are causally valid, mutation-sensitive, and do not inflate Cargo target or compiler-session cost.","qa-tests review of setup/action/oracle/teardown and live metadata counts.",PROVED,"Mutation controls invalidate exact independent evidence handles; the complete certification and boundary suites passed while live topology stayed at 9 integration targets and 2 frozen compiler sessions."
P1-16,"Every dirty code, test, fixture, and support file obeys semantic responsibility and the 400-line cap; advisory functions are adjudicated.","code-quality-qa inventory, line-cap script, and dirty-function scrutiny.",PROVED,"The authoritative worth-ui cap gate and exact dirty-file cap audit pass. Source allowlists were split into a 228-line semantic owner; scrutiny retains only boundary-check::run as a cohesive command pipeline. Unrelated inherited workspace-wide cap debt is disclosed in the spec."
P1-17,"The opening native-shell choice is precise enough that Phase 3 cannot silently choose a different dependency version or feature posture.","Machine-audited native-shell package/version/feature contract.",PROVED,"The contract and Road 1 require eframe =0.31.1, default features false, and exactly default_fonts/glow/wayland/x11; drift mutations and boundary unit tests passed."
P1-18,"When the pulse package is born, implicit Cargo tests cannot evade the fixed nine-target budget.","Future-born manifest audit requires autotests=false and target counting detects implicit tests.",PROVED,"destination_topology requires autotests=false on birth; negative fixtures prove both manifest drift and an implicitly discovered test target are rejected."
