"id","flow","edge","current_path","current_input","current_issuer","current_output","current_problem","target_path","target_input","target_issuer","target_output","authority_invariant","cutover_action","proof_gate","depends_on","status"
"1","artifact admission","declaration to admitted family","catalog/family_lifecycle.rs","PhysicalArtifactFamilyDeclaration","ArtifactFamilyLifecycleAdmission","admitted lifecycle state plus separate authority witness","Declaration and authority are not retained as one operation-bearing capability.","artifact_family/admission.rs","declaration plus current Store physical authority","ArtifactFamilyAdmission","AdmittedPhysicalArtifactFamily","A declaration is data; only owner admission may create family authority.","Create one private-field admitted family and require it below.","Copied declaration cannot enter key-domain or strategy admission.","none","partial"
"2","artifact admission","family authority propagation","catalog -> keyspace -> planning","ArtifactFamilyAuthorityWitness carried selectively","multiple adapters","scalar family identity or copied witness","Later stages can preserve labels while losing the exact admitted-family lineage.","artifact_family -> request -> selected operation","AdmittedPhysicalArtifactFamily","each consuming owner","same admitted-family lineage inside every capability","No later stage may reconstruct family authority from family id or declaration.","Embed the admitted family in key-domain, request, materialization, and selection capabilities.","Cross-store and copied-family substitutions fail to compile or are denied before planning.","1","missing_chain"
"3","key-domain admission","family to admitted key domain","keyspace/mod.rs and law modules","family/domain declarations plus law witnesses","keyspace admission helpers","PhysicalKeyDomainWitness","Individual laws are strong but the aggregate capability is not the sole planning input.","keyspace/admission.rs","AdmittedPhysicalArtifactFamily plus encoding/comparator/range/prefix laws","PhysicalKeyDomainAdmission","AdmittedPhysicalKeyDomain","One capability binds family, scope, canonical encoding, ordering, and supported operations.","Make raw domain and individual law witnesses non-executable inputs.","Raw domain witnesses and mismatched family/domain pairs cannot enter request admission.","1,2","partial"
"4","request admission","raw key to canonical request","keyspace/request_identity.rs during selection","raw/canonical key plus domain witness","selection path","AdmittedPhysicalAccessIdentity","Admission happens too late and identity is detached from complete intent and materialization context.","request/admission.rs","AdmittedPhysicalKeyDomain plus access intent plus canonical key","PhysicalAccessRequestAdmission","AdmittedPhysicalAccessRequest","Selection consumes an admitted request, never raw keys or identity projections.","Move canonicalization and request admission before candidate classification.","Trailing-zero, cross-domain, wrong-shape, and wrong-family substitutions fail.","3","partial"
"5","request identity","canonical request to diagnostic identity","keyspace/request_identity.rs","canonical bytes, domain and length","request identity helper","binding_words [u64;8]","A lossy scalar projection is close enough to authority surfaces to be reused as a binding.","request/identity.rs","AdmittedPhysicalAccessRequest","read-only projection","CanonicalPhysicalRequestIdentity projection","Hashes and words identify diagnostics; they never recreate an admitted request.","Confine binding_words and fingerprints to comparison/reporting APIs.","Residue scan finds no authority constructor accepting words, hashes, or fingerprints.","4","active_repair"
"6","intent admission","shape declaration to admitted intent","access/shape and planning adapters","AccessShapeContract","broad planning facade","raw AccessShape/contract projections","Rich shape vocabulary is imported as if declaration implied executable support.","request/admission.rs","shape declaration plus admitted family/domain/materialization","PhysicalAccessRequestAdmission","AdmittedAccessIntent embedded in request","Intent is admitted against exact owner capabilities and supported operation set.","Add exhaustive intent classifier and remove raw shape from selection signatures.","Unsupported shape matrix is exact; raw AccessShape cannot enter planning.","3,4","partial"
"7","materialization admission","coverage evidence to admitted materialization","materialization/*","coverage, freshness, absence and publication witnesses","materialization helpers","separate materialization witnesses","The complete source lineage is not visibly retained through selected execution.","materialization/admission.rs","family, strategy, publication identity, coverage, freshness, absence and scope","LayoutMaterializationAdmission","AdmittedLayoutMaterialization","Coverage labels and copied receipts never substitute for current admitted materialization.","Issue one private-field capability and carry it through selection/readiness.","Reopen preserves identity; copied coverage and cross-scope publication are denied.","1,8","partial"
"8","strategy admission","strategy declaration to invariant-bound strategy","strategy/registry and strategy family modules","family choice plus key-domain witnesses","layout admission registry","S8AdmittedLayoutStrategy","Invariant suites exist, but bare family choices and parallel proof vocabulary remain reachable.","strategy/admission.rs","admitted family/domain plus requested operation","LayoutStrategyAdmission","AdmittedLayoutStrategy","Strategy authority includes exact invariant suite and supported operation set.","Unify registry classification and invariant adoption behind one owner admission.","Bare strategy cannot enter selection; all advertised operations have adopted proofs.","1,3","partial"
"9","planning","admitted inputs to classified candidates","access/planning and planning","mixture of declarations, projections, admitted values","parallel classifiers","alternatives and audit records","Old and new trees can disagree and broad projections leak policy.","planning/candidate_classification.rs","admitted request, materialization, strategy and resource demand","private candidate classifier","ClassifiedAccessCandidates","Exactly one exhaustive classifier owns candidate semantics; declaration order cannot affect it.","Collapse duplicate planning trees and keep classification private.","Permutation tests and residue scan prove one classifier.","4,6,7,8","mixed_cutover"
"10","planning","classified candidates to selected operation","planning/selection_*","classified candidates plus budget data","selection issuance","SelectedIndexedAccessPlan or SelectedDegradedExactScan","The owner split now exists, but selection still retains a shared-plan escape bridge.","planning/selection.rs","ClassifiedAccessCandidates plus admitted operation budget","LayoutPlanSelection","SelectedIndexedRead or SelectedDegradedExactScan","Selection is the permanent owner split; no common executable payload exists afterward.","Finish owner-local lowering and delete into_shared_lowering_bridge.","Cross-owner lowering fails; shared bridge residue is zero.","9,13","active_repair"
